Full list of included studies and their publication information (ordered by total quality score),,,,,
Study ID,PMID,Author name,Year,Title,Journal
1,35079124,Zhang et al.,2022,Peripheral immunity is associated with the risk of incident dementia,Mol Psychiatry
2,20847399,Gu et al.,2010,"Mediterranean diet, inflammatory and metabolic biomarkers, and risk of Alzheimer's disease",J Alzheimers Dis
3,15148142,Engelhart et al.,2004,Inflammatory proteins in plasma and the risk of dementia: the rotterdam study,Arch Neurol
4,17011077,Ravaglia et al.,2007,Blood inflammatory markers and risk of dementia: The Conselice Study of Brain Aging,Neurobiol Aging
5,16269641,van Oijen et al.,2005,Fibrinogen is associated with an increased risk of Alzheimer disease and vascular dementia,Stroke
6,19542629,Sundelöf et al.,2009,Systemic inflammation and the risk of Alzheimer's disease and dementia: a prospective population-based study,J Alzheimers Dis
7,26673814,Hendrie et al.,2015,"Statin Use, Incident Dementia and Alzheimer Disease in Elderly African Americans",Ethn Dis
8,26891108,Ritche et al.,2016,The clinical picture of Alzheimer's disease in the decade before diagnosis: clinical and biomarker trajectories,J Clin Psychiatry
9,31450497,Andre et al.,2019,"Lipopolysaccharide-Binding Protein, Soluble CD14, and the Long-Term Risk of Alzheimer's Disease: A Nested Case-Control Pilot Study of Older Community Dwellers from the Three-City Cohort",J Alzheimers Dis
10,32557792,Thomas et al.,2020,Prospective longitudinal evaluation of cytokines in mild cognitive impairment due to AD and Lewy body disease,Int J Geriatr Psychiatry
11,34602472,Hao et al.,2021,Investigating Changes in the Serum Inflammatory Factors in Alzheimer's Disease and Their Correlation with Cognitive Function,J Alzheimers Dis
12,17536046,Tan et al.,2007,Inflammatory markers and the risk of Alzheimer disease: the Framingham Study,Neurology
13,19933496,O‘Bryant et al.,2010,Decreased C-reactive protein levels in Alzheimer disease,J Geriatr Psychiatry Neurol
14,25138786,Chen et al.,2014,"Increased serum levels of interleukin-18, -23 and -17 in Chinese patients with Alzheimer's disease",Dement Geriatr Cogn Disord
15,24907904,Rembach et al.,2014,An increased neutrophil-lymphocyte ratio in Alzheimer's disease is a function of age and is weakly correlated with neocortical amyloid accumulation,J Neuroimmunol
16,28159467,Hsu et al.,2017,C-Reactive Protein Predicts Incidence of Dementia in an Elderly Asian Community Cohort,J Am Med Dir Assoc
17,30646251,Tao et al.,2018,Association of Chronic Low-grade Inflammation With Risk of Alzheimer Disease in ApoE4 Carriers,JAMA Netw Open
18,34237731,Arshad et al.,2021,Role of Autoantibodies in Neurodegenerative Dementia: An Emerging Association,Dement Geriatr Cogn Disord
19,32860698,Baril et al.,2021,Systemic inflammation as a moderator between sleep and incident dementia,Sleep
20,16817867,Rosa et al.,2006,Chitotriosidase and inflammatory mediator levels in Alzheimer's disease and cerebrovascular dementia,Eur J Neurosci
21,16814429,Speciale et al.,2007,Lymphocyte subset patterns and cytokine production in Alzheimer's disease patients,Neurobiol Aging
22,22801742,Doecke et al.,2012,Blood-based protein biomarkers for diagnosis of Alzheimer disease,Arch Neurol
23,22801723,Soares et al.,2012,Plasma biomarkers associated with the apolipoprotein E genotype and Alzheimer disease,Arch Neurol
24,27019866,O‘Bryant et al.,2016,Comparing biological markers of Alzheimer's disease across blood fraction and platforms: Comparing apples to oranges,Alzheimers Dement (Amst)
25,33016923,Duarte et al.,2020,Inflammation in Alzheimer's Disease: Do Sex and APOE Matter?,J Alzheimers Dis
26,31414991,Josje et al.,2020,The Association Between Circulating Inflammatory Markers and the Progression of Alzheimer Disease in Norwegian Memory Clinic Patients With Mild Cognitive Impairment or Dementia,Alzheimer Dis Assoc Disord
27,32968032,Amin et al.,2020,Peripheral immunophenotype in dementia with Lewy bodies and Alzheimer's disease: an observational clinical study,J Neurol Neurosurg Psychiatry
28,34365256,Naudé et al.,2021,Serum and cerebrospinal fluid Neutrophil gelatinase-associated lipocalin (NGAL) levels as biomarkers for the conversion from mild cognitive impairment to Alzheimer's disease dementia,Neurobiol Aging
29,12509851,Dekosky et al.,2002,Plasma and cerebrospinal fluid alpha1-antichymotrypsin levels in Alzheimer's disease: correlation with cognitive impairment,Ann Neurol
30,16307829,Galimberti et al.,2006,Serum MCP-1 levels are increased in mild cognitive impairment and mild Alzheimer's disease,Neurobiol Aging
31,21116047,Eriksson et al.,2011,Associations of gene sequence variation and serum levels of C-reactive protein and interleukin-6 with Alzheimer's disease and dementia,J Alzheimers Dis
32,22272623,Reale et al.,2012,"Relationship between inflammatory mediators, Aβ levels and ApoE genotype in Alzheimer disease",Curr Alzheimer Res
33,22133543,Helmy et al.,2012,Role of interleukin 6 and alpha-globulins in differentiating Alzheimer and vascular dementias,Neurodegener Dis
34,22437436,Uslu et al.,2012,"Levels of amyloid beta-42, interleukin-6 and tumor necrosis factor-alpha in Alzheimer's disease and vascular dementia",Neurochem Res
35,23978419,Yarchoan et al.,2013,Association of plasma C-reactive protein levels with the diagnosis of Alzheimer's disease,J Neurol Sci
36,22535710,Honma et al.,2013,Increased systemic inflammatory interleukin-1ß and interleukin-6 during agitation as predictors of Alzheimer's disease,Int J Geriatr Psychiatry
37,27104907,Cestari et al.,2016,Oral Infections and Cytokine Levels in Patients with Alzheimer's Disease and Mild Cognitive Impairment Compared with Controls,J Alzheimers Dis
38,26599049,Sattlecker et al.,2016,Longitudinal Protein Changes in Blood Plasma Associated with the Rate of Cognitive Decline in Alzheimer's Disease,J Alzheimers Dis
39,27215446,Hansi et al.,2017,"Peripheral cytokines, C-X-C motif ligand10 and interleukin-13, are associated with Malaysian Alzheimer's disease",Geriatr Gerontol Int
40,31047856,Morgan et al.,2019,Inflammatory biomarkers in Alzheimer's disease plasma,Alzheimers Dement
41,32289574,Abe et al.,2020,Influence of plasma cytokine levels on the conversion risk from MCI to dementia in the Alzheimer's disease neuroimaging initiative database,J Neurol Sci
42,35465006,Lu et al.,2022,"Analysis of Correlation between Serum Inflammatory Factors and Cognitive Function, Language, and Memory in Alzheimer's Disease and Its Clinical Significance",Comput Math Methods Med
43,3718071,Endo et al.,1986,HLA system in senile dementia of Alzheimer type and multi-infarct dementia in Japan,Arch Gerontol Geriatr
44,10408971,Lombardi et al.,1999,"Characterization of cytokine production, screening of lymphocyte subset patterns and in vitro apoptosis in healthy and Alzheimer's Disease (AD) individuals",J Neuroimmunol
45,10713585,Mcllroy et al.,2000,Association of serum AACT levels and AACT signal polymorphism with late-onset Alzheimer's disease in Northern Ireland,Int J Geriatr Psychiatry
46,12210786,Schmidt et al.,2002,Early inflammation and dementia: a 25-year follow-up of the Honolulu-Asia Aging Study,Ann Neurol
47,Not in Pubmed,Zhang et al.,2003,Levation of serum macrophage colony stimulating factor level in patients with alzheimer’s disease,Neurosci Res Commun
48,15817002,Yamamoto et al.,2005,High prevalence of Chlamydia pneumoniae antibodies and increased high-sensitive C-reactive protein in patients with vascular dementia,J Am Geriatr Soc
49,16442186,Ciabattoni et al.,2007,Determinants of platelet activation in Alzheimer's disease,Neurobiol Aging
50,18430978,Oztürk et al.,2007,The diagnostic role of serum inflammatory and soluble proteins on dementia subtypes: correlation with cognitive and functional decline,Behav Neurol
51,17986101,Rodríguez-Rodríguez et al.,2007,Serum levels and genetic variation of TGF-beta1 are not associated with Alzheimer's disease,Acta Neurol Scand
52,17123665,Desideri et al.,2008,Enhanced soluble CD40 ligand and Alzheimer's disease: evidence of a possible pathogenetic role,Neurobiol Aging
53,19638714,Ban et al.,2009,Increased plasma urotensin-II and carotid atherosclerosis are associated with vascular dementia,J Atheroscler Thromb
54,21252539,Mansoori et al.,2010,"IL-6-174 G/C and ApoE gene polymorphisms in Alzheimer's and vascular dementia patients attending the cognitive disorder clinic of the All India Institute of Medical Sciences, New Delhi",Dement Geriatr Cogn Disord
55,20930310,Diniz et al.,2010,Higher serum sTNFR1 level predicts conversion from mild cognitive impairment to Alzheimer's disease,J Alzheimers Dis
56,22089638,Llano et al.,2012,Cerebrospinal fluid cytokine dynamics differ between Alzheimer disease patients and elderly controls,Alzheimer Dis Assoc Disord
57,22922667,Kuyumcu et al.,2012,The evaluation of neutrophil-lymphocyte ratio in Alzheimer's disease,Dement Geriatr Cogn Disord
58,22279551,Bjorkqivst et al.,2012,Evaluation of a previously suggested plasma biomarker panel to identify Alzheimer's disease,PLoS One
59,23368432,Bai et al.,2013,Elevated plasma levels of soluble TNFRs and TACE activity in Alzheimer's disease patients of Northern Han Chinese descent,Curr Alzheimer Res
60,23762274,Leung et al.,2013,Inflammatory proteins in plasma are associated with severity of Alzheimer's disease,PLoS One
61,24635842,Zhang et al.,2014,Plasma amyloid-β oligomers and soluble tumor necrosis factor receptors as potential biomarkers of AD,Curr Alzheimer Res
62,24910016,Bu et al.,2015,A study on the association between infectious burden and Alzheimer's disease,Eur J Neurol
63,26725994,Miwa et al.,2016,"Interleukin-6, interleukin-6 receptor gene variant, small-vessel disease and incident dementia",Eur J Neurol
64,28421328,Bednarska-Makaruk et al.,2017,"Association of adiponectin, leptin and resistin with inflammatory markers and obesity in dementia",Biogerontology
65,31335454,Cipollini et al.,2019,Neurovascular Dysfunction in Alzheimer Disease: Assessment of Cerebral Vasoreactivity by Ultrasound Techniques and Evaluation of Circulating Progenitor Cells and Inflammatory Markers,Alzheimer Dis Assoc Disord
66,30902060,Startin et al.,2019,"Plasma biomarkers for amyloid, tau, and cytokines in Down syndrome and sporadic Alzheimer's disease",Alzheimers Res Ther
67,31866854,Dong et al.,2019,Predictive Value of Routine Peripheral Blood Biomarkers in Alzheimer's Disease,Front Aging Neurosci
68,30993722,King et al.,2019,"Inflammation in mild cognitive impairment due to Parkinson's disease, Lewy body disease, and Alzheimer's disease",Int J Geriatr Psychiatry
69,33851590,Dubenko et al.,2021,"Levels of proinflammatory cytokines il-17 and il-23 in patients with alzheimer's disease, mild cognitive impairment and vascular dementia",Wiad Lek
70,33313759,Yeung et al.,2021,Systemic inflammatory regulators and risk of Alzheimer's disease: a bidirectional Mendelian-randomization study,Int J Epidemiol
71,30871733,Garfias et al.,2022,Peripheral blood lymphocyte phenotypes in Alzheimer and Parkinson's diseases,Neurologia (Engl Ed)
72,2304653,Van Dujin et al.,1990,Serum levels of interleukin-6 are not elevated in patients with Alzheimer's disease,Neurosci Lett
73,1432847,Dysken et al.,1992,Distribution of peripheral lymphocytes in Alzheimer patients and controls,J Psychiatr Res
74,15707465,Gupta et al.,2005,Coagulation and inflammatory markers in Alzheimer's and vascular dementia,Int J Clin Pract
75,16600299,Zuliani et al.,2007,Plasma cytokines profile in older subjects with late onset Alzheimer's disease or vascular dementia,J Psychiatr Res
76,18930766,Lee et al.,2008,Bioplex analysis of plasma cytokines in Alzheimer's disease and mild cognitive impairment,Immunol Lett
77,18835787,Ait-ghezal et al.,2008,"Diagnostic utility of APOE, soluble CD40, CD40L, and Abeta1-40 levels in plasma in Alzheimer's disease",Cytokine
78,18991685,Porcellini et al.,2008,Elevated plasma levels of alpha-1-anti-chymotrypsin in age-related cognitive decline and Alzheimer's disease: a potential therapeutic target,Curr Pharm Des
79,18037502,Bonotis et al.,2008,Systemic immune aberrations in Alzheimer's disease patients,J Neuroimmunol
80,18597785,Zuliani et al.,2008,Markers of endothelial dysfunction in older subjects with late onset Alzheimer's disease or vascular dementia,J Neurol Sci
81,19767111,Kamer et al.,2009,TNF-alpha and antibodies to periodontal bacteria discriminate between Alzheimer's disease patients and normal subjects,J Neuroimmunol
82,19728317,Higuchi et al.,2009,Association between altered systemic inflammatory interleukin-1beta and natural killer cell activity and subsequently agitation in patients with Alzheimer disease,Int J Geriatr Psychiatry
83,18996438,Buchhave et al.,2009,Elevated plasma levels of soluble CD40 in incipient Alzheimer's disease,Neurosci Lett
84,21569380,Kim et al.,2011,Identification of peripheral inflammatory markers between normal control and Alzheimer's disease,BMC Neurol
85,21442044,Rosen et al.,2011,Discriminatory Analysis of Biochip-Derived Protein Patterns in CSF and Plasma in Neurodegenerative Diseases,Front Aging Neurosci
86,23254637,O’Bryant et al.,2013,The link between C-reactive protein and Alzheimer's disease among Mexican Americans,J Alzheimers Dis
87,23207486,Laske et al.,2013,Immune profiling in blood identifies sTNF-R1 performing comparably well as biomarker panels for classification of Alzheimer's disease patients,J Alzheimers Dis
88,22596080,Butchart et al.,2013,Male sex hormones and systemic inflammation in Alzheimer disease,Alzheimer Dis Assoc Disord
89,24576746,Faria et al.,2014,Increased plasma levels of BDNF and inflammatory markers in Alzheimer's disease,J Psychiatr Res
90,24318929,Wang et al.,2014,The efficacy of plasma biomarkers in early diagnosis of Alzheimer's disease,Int J Geriatr Psychiatry
91,26675645,Wu et al.,2015,Alterations of the Neuroinflammatory Markers IL-6 and TRAIL in Alzheimer's Disease,Dement Geriatr Cogn Dis Extra
92,26379616,Delaby et al.,2015,Central Nervous System and Peripheral Inflammatory Processes in Alzheimer's Disease: Biomarker Profiling Approach,Front Neurol
93,26444787,Agostini et al.,2016,Lack of evidence for a role of HHV-6 in the pathogenesis of Alzheimer's disease,J Alzheimers Dis
94,26515085,Dukic et al.,2016,"The role of human kallikrein 6, clusterin and adiponectin as potential blood biomarkers of dementia",Clin Biochem
95,27229914,Villarreal et al.,2016,Serum-based protein profiles of Alzheimer's disease and mild cognitive impairment in elderly Hispanics,Neurodegener Dis Manag
96,28239640,Zhu et al.,2017,Serum IL-8 is a marker of white-matter hyperintensities in patients with Alzheimer's disease,Alzheimers Dement (Amst)
97,29248892,King et al.,2018,Peripheral inflammation in prodromal Alzheimer's and Lewy body dementias,J Neurol Neurosurg Psychiatry
98,29352259,Lee et al.,2018,Plasma MCP-1 and Cognitive Decline in Patients with Alzheimer's Disease and Mild Cognitive Impairment: A Two-year Follow-up Study,Sci Rep
99,31654714,Fraga et al.,2019,Inflammatory and Pro-resolving Mediators in Frontotemporal Dementia and Alzheimer's Disease,Neuroscience
100,31658056,Boccardi et al.,2019,Cognitive Decline and Alzheimer's Disease in Old Age: A Sex-Specific Cytokinome Signature,J Alzheimers Dis
101,32790155,Gu et al.,2020,Elevated matrix metalloproteinase-9 levels in neuronal extracellular vesicles in Alzheimer's disease,Ann Clin Transl Neurol
102,32998767,Chua et al.,2020,Immunomodulatory sphingosine-1-phosphates as plasma biomarkers of Alzheimer's disease and vascular cognitive impairment,Alzheimers Res Ther
103,35842208,Koca et al.,2022,Decreased levels of cytokines implicate altered immune response in plasma of moderate-stage Alzheimer's disease patients,Neurosci Lett
104,35523454,Weber et al.,2022,Peripheral sTREM2-Related Inflammatory Activity Alterations in Early-Stage Alzheimer's Disease,J Immunol
105,1770834,Cacabelos et al.,1991,Interleukin-1 in Alzheimer's disease and multi-infarct dementia: neuropsychological correlations,Methods Find Exp Clin Pharmacol
106,8556481,Chao et al.,1994,Serum cytokine levels in patients with Alzheimer's disease,Clin Diagn Lab Immunol
107,7768042,Shalit et al.,1995,T lymphocyte subpopulations and activation markers correlate with severity of Alzheimer's disease,Clin Immunol Immunopathol
108,7728215,Altstiel et al.,1995,Elevated alpha 1-antichymotrypsin serum levels in a subset of nondemented first-degree relatives of Alzheimer's disease patients,Dementia
109,8971699,Alvare et al.,1996,"Blood levels of histamine, IL-1 beta, and TNF-alpha in patients with mild to moderate Alzheimer diseas",Mol Chem Neuropathol
110,9325475,Kálmán et al.,1997,Serum interleukin-6 levels correlate with the severity of dementia in Down syndrome and in Alzheimer's disease,Acta Neurol Scand
111,10195318,Song et al.,1999,Alterations in immune functions during normal aging and Alzheimer's disease,Psychiatry Res
112,10674995,Licastro et al.,2000,"Increased plasma levels of interleukin-1, interleukin-6 and alpha-1-antichymotrypsin in patients with Alzheimer's disease: peripheral inflammation or signals from the brain?",J Neuroimmunol
113,12505423,De luigi et al.,2002,Peripheral inflammatory response in Alzheimer's disease and multiinfarct dementia,Neurobiol Dis
114,12928051,Licastro et al.,2003,Interleukin-6 gene alleles affect the risk of Alzheimer's disease and levels of the cytokine in blood and brain,Neurobiol Aging
115,12928047,Teunissen et al.,2003,Combination of serum markers related to several mechanisms in Alzheimer's disease,Neurobiol Aging
116,33577998,Fenoglio et al.,2004,The MCP-1 A-2518G polymorphism increases the risk of Alzheimer's disease: A case-control study,Neurosci Lett
117,16961066,Malaguarrnera et al.,2006,Interleukin-18 and transforming growth factor-beta 1 plasma levels in Alzheimer's disease and vascular dementia,Neuropathology
118,17949824,Motta et al.,2007,Altered plasma cytokine levels in Alzheimer's disease: correlation with the disease progression,Immunol Lett
119,16569464,Alvarez et al.,2007,Serum TNF-alpha levels are increased and correlate negatively with free IGF-I in Alzheimer disease,Neurobiol Aging
120,17761554,Nielsen et al.,2007,Plasma and CSF serpins in Alzheimer disease and dementia with Lewy bodies,Neurology
121,16516234,Richartz-Salzburger et al.,2007,Altered lymphocyte distribution in Alzheimer's disease,J Psychiatr Res
122,17934323,Guerreiro et al. ,2007,Peripheral inflammatory cytokines as biomarkers in Alzheimer's disease and mild cognitive impairment,Neurodegener Dis
123,19513308,Choi et al.,2008,Multiplex analysis of cytokines in the serum and cerebrospinal fluid of patients with Alzheimer's disease by color-coded bead technology,J Clin Neurol
124,18283248,Baranowska et al.,2008,Plasma beta amyloid and cytokine profile in women with Alzheimer's disease,Neuro Endocrinol Lett
125,19996595,Forlenza et al.,2009,Increased serum IL-1beta level in Alzheimer's disease and mild cognitive impairment,Dement Geriatr Cogn Disord
126,21463871,Choi et al.,2011,Increased plasma levels of lipocalin 2 in mild cognitive impairment,J Neurol Sci
127,21239851,Smith et al.,2011,Plasma fetuin-A is associated with the severity of cognitive impairment in mild-to-moderate Alzheimer's disease,J Alzheimers Dis
