Supplementary Table 4. Detailed charateristics of included stuides (ordered by total quality score),,,,,,,,,,,,,,,,,,,,,,
Study ID,PMID,Author name,Year,Study population representativeness,Follow-up (Y/N),Primary exposure of interest (Y/N),Study population by country,Continent,N Total,N AD,AD outcome studied,Stages of AD reported (R/NR),AD diagonosis tool,Sample source,Type of assay reported (R/NR),Number of peripheral immune biomarkers,Age-matched (Y/N),Gender-matched (Y/N),Education-matched (Y/N),Other-matched (Y/N),No matching at all (Y/N),Main analytical methods
1,35079124,Zhang et al.,2022,Regional,Y,Y,UK,Europe,359310,1896,AD,NR,"(ICD)-9 codes, ICD-10 codes, Read codes version 2 (Read V2), and version 3 (Read CTV3)",Plasma and serum,R,3,N,N,N,N,Y,Cox proportional hazard regression models
2,20847399,Gu et al.,2010,Regional,Y,N,US,North America,1219,118,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,age; gender; education; race
3,15148142,Engelhart et al.,2004,Regional,Y,Y,Netherland,Europe,825,140,AD,NR,NINCDS-ADRDA,Plasma,R,5,N,N,N,N,Y,Cox proportional hazards regression models
4,17011077,Ravaglia et al.,2007,Regional,Y,Y,Italy,Europe,804,68,AD,NR,"NINCDS-ADRDA, NINDS-AIREN",Serum,R,3,N,N,N,Y,N,Cox proportional hazards models
5,16269641,van Oijen et al.,2005,Regional,Y,Y,Netherlands,Europe,2835,230,AD,NR,"NINCDS-ADRDA and DSM-IV, NINDS-AIREN",Plasma,R,2,N,N,N,Y,N,Cox proportional hazards models
6,19542629,Sundelöf et al.,2009,Regional,Y,Y,Sweden,Europe,1811,134,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,2,N,N,N,Y,N,Cox proportional hazards models
7,26673814,Hendrie et al.,2015,Regional,Y,N,US,North America,965,56,AD,NR,ICD-10 and DSM-IV-TR,Plasma,NR,1,N,N,N,Y,N,T-tests for continuous variables and Fisher’s exact tests for categorical variables w
8,26891108,Ritche et al.,2016,Regional,Y,Y,France,Europe,2461,821,AD,NR,DSM-IV10,Plasma,R,3,Y,Y,N,Y,N,Wilcoxon test
9,31450497,Andre et al.,2019,Multi-hospital,Y,Y,France,Europe,636,212,AD,NR,NINCDS-ADRDA,Plasma,R,2,Y,Y,Y,N,N,Conditional logistic regressions
10,32557792,Thomas et al.,2020,Regional,Y,Y,UK,Europe,21,21,AD,R,"NIA-AA criteria, FP-CIT scan",Serum,R,6,N,N,N,N,Y,Linear mixed-effects
11,34602472,Hao et al.,2021,Single hospital or clinic,N,Y,China,Asia,374,200,AD,R,NIA-AA,Serum,R,6,Y,Y,Y,N,N,"An independent sample t-test or one-way ANOVA to analyze the normal distribution data. For skewness distribution data, Mann-Whitney U or Kruskal-Wallis tests."
12,17536046,Tan et al.,2007,Regional,Y,Y,USA,North America,691,44,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,Y,N,Cox proportional hazards models
13,19933496,O‘Bryant et al.,2010,Multi-hospital,N,Y,US,North America,366,192,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,Y,Y,N,N,t test for contin- uous variables and w2 test for discrete variables
14,25138786,Chen et al.,2014,Regional,N,Y,China,Asia,106,53,AD,NR,NINCDS-ADRDA,Serum,R,3,Y,Y,N,N,N,Student’s t test; Mann-Whitney U test; Kruskal-Wallis test
15,24907904,Rembach et al.,2014,Multi-hospital,Y,Y,Australian,Australia,964,205,AD,NR,NINCDS-ADRDA,Plasma and serum,R,1,N,N,N,N,Y,"Ordered Polynomial Logistic Regression (PLR) was used to assess biomarker significance across HC, MCI and AD groups, and non-transition, transition and stable AD groups. Generalised Linear Modelling (GLM) and Generalised Linear Mixed Modelling (GLMM) were used to assess relationships between HC and AD groups, and non-transition and transition groups and biomarkers, adjusted for age, sex and APOEε4 allele status."
16,28159467,Hsu et al.,2017,Regional,Y,Y,China,Asia,1436,260,AD,NR,ICD-9-CM,NR,NR,1,N,N,N,Y,N,Survival analysis
17,30646251,Tao et al.,2018,Regional,Y,N,US,North America,2614,152,AD,NR,NR,Serum,R,1,N,N,N,N,Y,Cox proportional hazards
18,34237731,Baril et al.,2021,Regional,Y,N,US,North America,259,35,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Cox proportional harzard
19,32860698,Baril et al.,2021,Regional,Y,N,US,North America,291,33,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Cox proportional harzard
20,16817867,Rosa et al.,2006,Single hospital or clinic,Y,Y,Italy,Europe,80,40,AD,NR,"NINCDS-ADRDA, DSM-IV ",Plasma,NR,3,Y,Y,Y,Y,N,one-way anova and Student’s t-test.
21,16814429,Speciale et al.,2007,Multi-hospital,N,Y,Europe,Europe,102,51,AD,R,NINCDS-ADRDA,Plasma,R,5,Y,Y,N,N,N,"Kruskall–Wallis, Mann–Whitney"
22,22801742,Doecke et al.,2012,Multi-hospital,N,Y,Australia,Australia,961,207,AD,NR,NR,Plasma,R,3,N,N,N,N,Y,"generalized linear model, adjusted for age, sex, and APOE genotype."
23,22801723,Soares et al.,2012,Multi-hospital,Y,Y,US and Canada,North America,166,112,AD,NR,NR,Plasma,R,7,N,N,N,Y,N,"ANCOVA models, including diagnosis, age, sex, and ApoE allelic status, were used to examine the contribu- tions of these variables to differences across diagnostic groups."
24,27019866,O‘Bryant et al.,2016,Multi-hospital,N,N,France,Europe,144,79,AD,NR,NINCDS-ADRDA,Plasma and serum,R,21,N,N,N,N,Y,x2 and t tests
25,33016923,Duarte et al.,2020,Multi-hospital,N,Y,US,North America,148,108,AD,NR,NINCDS/ADRDAClinical Dementia Rating 0.5/1.0,Plasma,R,9,N,N,N,N,Y,Wilcoxon rank sum test; Fisher’s exact test
26,31414991,Josje et al.,2020,Multi-hospital,N,Y,Norwegian,Europe,242,154,AD,NR,NINCDS-ADRDA,Serum,R,7,N,N,N,N,Y,Mann-Whitney U test.
27,32968032,Amin et al.,2020,Regional,N,Y,UK,Europe,62,31,AD,NR,NINCDS-ADRDA,Serum,R,15,N,N,N,N,Y,Pearson χ2; Kruskal-Wallis
28,34365256,Naudé et al.,2021,Multi-hospital,Y,Y,Netherlands,Europe,268,88,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Linear mixed models
29,12509851,Dekosky et al.,2002,Single hospital or clinic,N,Y,US,North America,472,359,AD,NR,NINCDS/ADRDA; DSM-III-R,Plasma,R,1,Y,Y,Y,N,N,ANOVA
30,16307829,Galimberti et al.,2006,Multi-hospital,N,Y,Italy,Europe,118,94,AD,R,NINCDS-ADRDA,Serum,R,1,Y,N,N,Y,N,Mann–Whitney U-test
31,21116047,Eriksson et al.,2011,National,N,Y,Sweden,Europe,276,71,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,Y,N,ANOVA and logistic regression model
32,22272623,Reale et al.,2012,Single hospital or clinic,N,Y,Italy,Europe,77,38,AD,NR,DSM-IV- TR; NINCDS-ADRDA,Serum,R,5,Y,Y,Y,N,N,Mann-Whitney U test and Pearson chi-square test
33,22133543,Helmy et al.,2012,Single hospital or clinic,N,Y,Egypt,Asia & Africa,20,10,AD,NR,NINCDS-ADRDA,Plasma,R,2,Y,Y,Y,N,N,e 􏰋2 test for quantitative variables or ANOVA
34,22437436,Uslu et al.,2012,Multi-hospital,N,Y,Turkey,Europe & Asia,51,28,AD,NR,NINCDS-ADRDA,Serum,R,3,Y,Y,N,N,N,ANOVA
35,23978419,Yarchoan et al.,2013,Single hospital or clinic,Y,Y,US,North America,320,203,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,Y,N,Mixed-effects models
36,22535710,Honma et al.,2013,Multi-hospital,Y,Y,Japan,Asia,133,40,AD,NR,DSM-III,Plasma,R,2,N,N,N,Y,N,Cox proportional hazards models
37,27104907,Cestari et al.,2016,Single hospital or clinic,N,Y,Brazil,South America,46,25,AD,NR,NINCDS-ADRDA,Serum,R,3,Y,Y,Y,Y,N,ANOVA; Non-parametric chi square test
38,26599049,Sattlecker et al.,2016,Multi-hospital,Y,Y,European,Europe,159,90,AD,R,NR,Plasma,R,6,N,N,N,N,Y,mixed linear regression
39,27215446,Hansi et al.,2017,Single hospital or clinic,N,Y,Malaysia,Asia,78,39,AD,NR,NINCDS-ADRDA,Serum,R,10,N,N,N,N,Y,t test and χ2 tests
40,31047856,Morgan et al.,2019,Multi-hospital,N,Y,Europe,Europe,521,262,AD,NR,NINCDS-ADRDA,Plasma,R,38,N,N,N,N,Y,"Kruskal-Wallis test, Stepwise logistic regression (SLR), ROC analysis with leave-one-out cross-validation"
41,32289574,Abe et al.,2020,Multi-hospital,N,Y,US and Canada,North America,116,69,AD,NR,NR,Plasma,R,3,N,N,N,N,Y,Student's t-test
42,35465006,Lu et al.,2022,Single hospital or clinic,N,Y,China,Asia,66,36,AD,NR,NINCDS-ADRDA,Serum,R,6,Y,Y,Y,N,N,Independent sample t-test; liner regression
43,3718071,Endo et al.,1986,Single hospital or clinic,N,Y,Japan,Asia,188,122,AD,NR,DSM-III,Plasma,R,16,Y,N,N,N,N,chi-square test
44,10408971,Lombardi et al.,1999,Single hospital or clinic,N,Y,Spain,Europe,90,45,AD,R,NINCDS-ADRDA and DSM-III,Plasma,R,11,Y,N,N,Y,N,"Wilcoxon signed 
rank test"
45,10713585,Mcllroy et al.,2000,Single hospital or clinic,N,Y,UK,Europe,211,106,AD,NR,NINCDS-ADRDA; DSM-IV,Serum,R,1,Y,Y,N,Y,N,independent sample's t-test
46,12210786,Schmidt et al.,2002,Single hospital or clinic,Y,Y,Japan,Asia,931,95,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,logistic regression
47,Not in Pubmed,Zhang et al.,2003,Single hospital or clinic,N,Y,China,Asia,64,32,AD,R,NINCDS-ADRDA and DSM-IV,Serum,R,4,Y,Y,N,N,N,ANOVA
48,15817002,Yamamoto et al.,2005,Single hospital or clinic,N,Y,Japan,Asia,93,61,AD,NR,"NINCDS-ADRDA, NINDS-AIREN",Serum,R,3,Y,Y,N,N,N,ANOVA and logistic regression model
49,16442186,Ciabattoni et al.,2007,Single hospital or clinic,N,Y,Italy,Europe,88,44,AD,NR,NINCDS-ADRDA,Plasma,R,3,Y,Y,N,N,N,ANOVA
50,18430978,Oztürk et al.,2007,Single hospital or clinic,N,Y,Turkey,Europe & Asia,52,29,AD,NR,"NINCDS-ADRDA, NINDS-AIREN",Serum,R,8,Y,N,N,N,N,ANOVA
51,17986101,Rodríguez-Rodríguez et al.,2007,Regional,N,Y,Spain,Europe,818,412,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,Y,N,N,N,Student t test
52,17123665,Desideri et al.,2008,Multi-hospital,N,Y,Italy,Europe,120,80,AD,NR,NINCDS-ADRDA; CDR,Plasma,R,1,Y,Y,N,N,N,ANOVA
53,19638714,Ban et al.,2009,Single hospital or clinic,N,N,Japan,Asia,244,197,AD,NR,"NINCDS-ADRDA, NINDS-AIREN",Serum,R,2,Y,Y,N,N,N,ANOVA
54,21252539,Mansoori et al.,2010,Multi-hospital,N,Y,India,Asia,187,74,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,Y,N,N,N,Krus- kal-Wallis test
55,20930310,Diniz et al.,2010,Single hospital or clinic,Y,Y,Brazil,South America,95,31,AD,NR,NINCDS-ADRDA,Serum,R,3,N,N,N,N,Y,ANOVA
56,22089638,Llano et al.,2012,Single hospital or clinic,N,Y,US,North America,22,15,AD,NR,NINCDS-ADRDA,Plasma,R,9,Y,N,N,N,N,Mann-Whitney test.
57,22922667,Kuyumcu et al.,2012,Single hospital or clinic,N,Y,Turkey,Europe & Asia,416,241,AD,NR,DSM-IV; NINCDS-ADRDA,Plasma and serum,R,1,Y,Y,N,N,N,Independent samples t test or Mann-Whitney U test
58,22279551,Bjorkqivst et al.,2012,Single hospital or clinic,N,Y,US,North America,316,142,AD,NR,DSM-IIIR; NINCDS- ADRDA,Plasma,R,9,N,N,N,N,Y,non- parametric Kruskal-Wallis tests; Mann-Whitney U-tests
59,23368432,Bai et al.,2013,Single hospital or clinic,N,Y,China,Asia,116,76,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,Y,N,N,N,Mann-Whitney U tests
60,23762274,Leung et al.,2013,Multi-hospital,N,Y,Europe,Europe,229,117,AD,NR,"Alzheimer’s Disease Assessment Scale – cognitive (ADAS-Cog), Consortium to Establish a Registry for Alzheimer’s Disease (CERAD)",Plasma,R,22,N,N,N,N,Y,Linear regression
61,24635842,Zhang et al.,2014,Single hospital or clinic,N,Y,China,Asia,210,90,AD,R,NINCDS-ADRDA; CDR=1,Plasma,R,4,N,N,N,N,Y,ANOVA
62,24910016,Bu et al.,2015,Single hospital or clinic,N,Y,China,Asia,263,128,AD,NR,NINCDS-ADRDA,Serum,R,4,Y,Y,N,N,N,Student’s t test or ANOVA
63,26725994,Miwa et al.,2016,Single hospital or clinic,Y,N,Japan,Asia,774,31,AD,NR,DSM-III-R and established clinical criteria,Serum,R,2,N,N,N,N,Y,Cox proportional hazards analyses
64,28421328,Bednarska-Makaruk et al.,2017,Single hospital or clinic,N,N,Poland,Europe,196,89,AD,NR,NINCDS-ADRDA,Serum,R,2,Y,N,N,N,N,Student t test or Oneway Analysis of Variance (ANOVA) followed by Dunnett’s post hoc test
65,31335454,Cipollini et al.,2019,Single hospital or clinic,N,Y,Italy,Europe,52,35,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,Y,Y,N,N,Comparing means of the Mann-Whitney U test
66,30902060,Startin et al.,2019,Multi-hospital,N,Y,Europe,Europe,54,27,AD,NR,NR,Plasma,R,7,Y,Y,N,N,N,ANCOVAs for log-transformed concentrations
67,31866854,Dong et al.,2019,Single hospital or clinic,N,Y,China,Asia,115,56,AD,NR,NINCDS-ADRDA,Plasma,R,2,Y,Y,N,N,N,ANOVA with Tukey’s post hoc test
68,30993722,King et al.,2019,Multi-hospital,N,Y,UK,Europe,41,21,AD,NR,NIA‐AA,Plasma and serum,R,8,Y,N,N,N,N,ANCOVA with Bonferroni correction
69,33851590,Dubenko et al.,2021,Single hospital or clinic,N,Y,Ukraine,Europe,45,15,AD,NR,NINCDS-ADRDA,Serum,R,2,Y,Y,Y,N,N,χ2 test and Kruskal-Wallis test
70,33313759,Yeung et al.,2021,National,N,Y,Finland,Europe,455178,71800,AD,NR,NR,NR,R,37,N,N,N,N,Y,"Inverse- variance weighting meta-analysis with multiplicative ran- dom effects of the SNP-specific Wald estimates,"
71,30871733,Garfias et al.,2022,Single hospital or clinic,Y,Y,Mexico,North America,35,20,AD,NR,NINCDS-ADRDA,Plasma and serum,R,3,Y,Y,N,N,N,t test (paired samples t test when required) or the Mann-Whitney U test
72,2304653,Van Dujin et al.,1990,Multi-hospital,N,Y,Netherland,Europe,176,97,AD,NR,"(1) slow progressive decline of intellectual function; (2) a score on the clinical dementia rating scale of more than 0.5 [12]; (3) a score on the short porta- ble mental status questionnaire (SPMSQ) of less than 20 [18]; (4) a score of 7 or less on the Hachinski-scale [9]; and (5) no evidence for abnormalities on CT-scan other than cerebral atrophy, and no evidence for focal dysfunction in the EEG",Serum,R,1,Y,Y,N,Y,N,ANOVA
73,1432847,Dysken et al.,1992,Multi-hospital,N,Y,US,North America,96,55,AD,NR,DMS III-R; NINCDS-ADRDA,Plasma and serum,R,1,Y,Y,N,N,N,ANOVA
74,15707465,Gupta et al.,2005,Single hospital or clinic,N,Y,UK,Europe,69,18,AD,NR,"NINCDS-ADRDA, NINDS-AIREN",Serum,R,2,Y,Y,N,N,N,ANOVA
75,16600299,Zuliani et al.,2007,Single hospital or clinic,N,Y,Italy,Europe,102,60,AD,NR,"NINCDS-ADRDA, NINDS-AIREN",Plasma,R,4,N,N,N,N,Y,ANOVA
76,18930766,Lee et al.,2008,Single hospital or clinic,N,Y,Korea,Asia,29,10,AD,NR,NINCDS-ADRDA,Plasma,R,20,N,N,N,N,Y,"The plasma cytokine levels of NCI, MCI, and AD patients were compared via a uni- variate analysis of variance; of them, CTACK, MIF, MIG, and SCF – all of which showed significant differences among the three groups – were compared using a univariate analysis of covari- ance. Plasma IP-10 and MCP-1 levels were compared using Kruskal Wallis test."
77,18835787,Ait-ghezal et al.,2008,Single hospital or clinic,N,Y,US,North America,175,73,AD,NR,NINCDS-ADRDA,Plasma,R,2,N,N,N,N,Y,Mann–Whitney U test
78,18991685,Porcellini et al.,2008,Single hospital or clinic,N,Y,Italy,Europe,972,142,AD,R,NINCDS/ ADRDA [24] and DSM-IV-R criteria,Plasma,R,2,N,N,N,N,Y,ANOVA
79,18037502,Bonotis et al.,2008,Single hospital or clinic,N,Y,Greece,Europe,70,49,AD,R,NINCDS-ADRDA,Serum,R,9,Y,N,N,N,N,"Kruskal-Wallis rank test, followed by Mann-Whitney test"
80,18597785,Zuliani et al.,2008,Single hospital or clinic,N,Y,Italy,Europe,90,60,AD,R,NINCDS-ADRDA,Plasma,R,5,N,N,N,N,Y,ANOVA
81,19767111,Kamer et al.,2009,Single hospital or clinic,N,Y,USA,North America,34,18,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,3,N,N,N,Y,N,Student T-test and Mann–Whitney U test
82,19728317,Higuchi et al.,2009,Single hospital or clinic,N,Y,Japan,Asia,32,16,AD,R,NINCDS-ADRDA,Serum,R,1,Y,Y,N,N,N,ANOVA
83,18996438,Buchhave et al.,2009,Single hospital or clinic,Y,Y,Sweden,Europe,90,60,AD,NR,NINCDS-ADRDA and DSM-III,Plasma,R,1,N,N,N,Y,N,NR
84,21569380,Kim et al.,2011,Regional,N,Y,Korea,Asia,38,20,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,4,N,N,N,N,Y,ANOVA and χ2 tests
85,21442044,Rosen et al.,2011,Single hospital or clinic,N,N,Sweden,Europe,44,24,AD,NR,NINCDS-ADRDA and DSM-III,Plasma,R,10,Y,N,N,N,N,Mann–Whitney U-test
86,23254637,O’Bryant et al.,2013,Regional,N,Y,US,North America,380,55,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Linear regression
87,23207486,Laske et al.,2013,Single hospital or clinic,N,Y,Germany,Europe,164,82,AD,NR,NINCDS-ADRDA and DSM-IV,Serum,R,25,Y,Y,N,N,N,Support vector machines
88,22596080,Butchart et al.,2013,Regional,N,N,UK,Europe,94,94,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,"One-sample t tests, Wilcoxon signed rank test"
89,24576746,Faria et al.,2014,Single hospital or clinic,N,Y,Brazil,South America,106,56,AD,NR,DSM-IV and NINCDS-ADRDA criteri,Plasma,R,2,Y,N,N,N,N,Pearson’s chi-square test
90,24318929,Wang et al.,2014,Single hospital or clinic,N,Y,China,Asia,216,94,AD,NR,DSM- IV & NINCDS–ADRDA,Plasma,R,2,N,N,N,N,Y,"Differences between the groups in Aβ40, Aβ42, T-tau, and IL-10 were tested using a one-way repeated analysis of variance, with each group as the between-subject factor. Data of IL-6 and P-tau 181 were analyzed using Mann–Whitney test."
91,26675645,Wu et al.,2015,Single hospital or clinic,N,Y,China,Asia,81,41,AD,NR,NINCDS-ADRDA,Plasma,R,3,N,N,N,N,Y,Student t test
92,26379616,Delaby et al.,2015,Single hospital or clinic,N,Y,France,Europe,29,14,AD,NR,NINCDS-ADRDA,Serum,R,6,N,N,N,N,Y,Logistic regression
93,26444787,Agostini et al.,2016,Single hospital or clinic,N,Y,Italy,Europe,120,59,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,ANOVA
94,26515085,Dukic et al.,2016,Single hospital or clinic,N,Y,Croatia,Europe,120,70,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Kruskall–Wallis test ANOVA one-way analysis
95,27229914,Villarreal et al.,2016,Single hospital or clinic,N,Y,Panama,North America,105,28,AD,NR,NINCDS-ADRDA,Serum,R,12,N,N,N,N,Y,ANOVA
96,28239640,Zhu et al.,2017,Single hospital or clinic,N,Y,Singapore,Asia,175,96,AD,NR,NR,Serum,R,3,N,N,N,N,Y,ANOVA and Dunn’s post hoc
97,29248892,King et al.,2018,Multi-hospital,N,Y,UK,Europe,40,20,AD,NR,NINCDS-ADRDA,Serum,R,4,N,N,N,N,Y,Shapiro-Wilk test
98,29352259,Lee et al.,2018,Multi-hospital,N,Y,Taiwan,Asia,430,310,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,ANOVA
99,31654714,Fraga et al.,2019,Single hospital or clinic,N,Y,Brazil,South America,68,32,AD,NR,NIA-AA,Plasma and serum,R,5,Y,Y,N,Y,N,Mann–Whitney and Kruskal–Wallis with Bonferroni correction tests
100,31658056,Boccardi et al.,2019,Single hospital or clinic,N,Y,Italy,Europe,216,129,AD,NR,NINCDS-ADRDA,Plasma,R,23,N,N,N,N,Y,Linear model analysis
101,32790155,Gu et al.,2020,Single hospital or clinic,N,Y,China,Asia,46,31,AD,NR,"IWG-2 AD criteria; Clinical Dementia Rating (CDR) score = 0.5–2, Mini-Mental State Examination (MMSE) score less than 27",Plasma,R,4,Y,Y,N,N,N,chi-square tests
102,32998767,Chua et al.,2020,Multi-hospital,N,Y,Singapore,Asia,193,113,AD,NR,NINCDS-ADRDA,Plasma,R,2,N,N,N,N,Y,ANOVA
103,35842208,Koca et al.,2022,Multi-hospital,N,Y,Turkey,Europe & Asia,50,25,AD,NR,NINCDS-ADRDA,Plasma,R,14,Y,N,N,N,N,Mann-Whitney U and Independent t-test.
104,35523454,Weber et al.,2022,Multi-hospital,N,N,US,North America,163,75,AD,NR,NR,Plasma,R,9,N,N,N,N,Y,MannWhitney
105,1770834,Cacabelos et al.,1991,Single hospital or clinic,N,Y,Spain,Europe,24,16,AD,R,"DSM-III-R, NINCDS-ADRDA",Serum,R,2,N,N,N,N,Y,"ANOVA, Mann-Whitney test"
106,8556481,Chao et al.,1994,Single hospital or clinic,N,Y,US,North America,44,22,AD,NR,NINCDS-ADRDA,Serum,R,3,N,N,N,N,Y,paired Student's t test
107,7768042,Shalit et al.,1995,Single hospital or clinic,N,N,Israel,Asia,38,25,AD,R,NINCDS-ADRDA,Plasma,R,3,Y,N,N,N,N,Wilcoxon test
108,7728215,Altstiel et al.,1995,Single hospital or clinic,N,Y,US,North America,125,77,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,2-tailed t tests
109,8971699,Alvare et al.,1996,Single hospital or clinic,N,Y,Spain,Europe,40,20,AD,R,NINCDS-ADRDA; DSM-IV,Plasma and serum,R,2,Y,N,N,N,N,"Mann-Whitney U test, ANOVA"
110,9325475,Kálmán et al.,1997,Single hospital or clinic,N,Y,Scotland,Europe,65,41,AD,R,"NINCDS-ADRDA, DSM-III-R",Serum,R,1,Y,Y,N,N,N,Wilcoxon test
111,10195318,Song et al.,1999,Single hospital or clinic,N,Y,Belgium,Europe,47,15,AD,NR,DSM-IV,Plasma,R,3,Y,N,N,N,N,ANOVA and ANCOVA
112,10674995,Licastro et al.,2000,Single hospital or clinic,N,Y,Italy,Europe,196,145,AD,NR,DMS III-R; NINCDS-ADRDA,Plasma,R,5,N,N,N,N,Y,two tailed Student’s t-test
113,12505423,De luigi et al.,2002,Single hospital or clinic,N,Y,Switzerland,Europe,105,58,AD,R,NINCDS-ADRDA,Plasma,R,4,Y,N,N,N,N,nonparametric Mann- Whitney test
114,12928051,Licastro et al.,2003,Multi-hospital,N,Y,Italy,Europe,725,332,AD,NR,"NINCDS-ADRDA and DSM-IV, CERAD",Plasma,R,1,Y,N,N,N,N,ANOVA
115,12928047,Teunissen et al.,2003,Single hospital or clinic,N,Y,Netherlands,Europe,95,34,AD,NR,"NINCDS-ADRDA and DSM-IV, UK PD Society Brain Bank Clinical Diagnostic Criteria",Serum,R,3,N,N,N,N,Y,Logistic regression
116,33577998,Fenoglio et al.,2004,Multi-hospital,N,Y,Italy,Europe,472,269,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,Mann–Whitney U-test
117,16961066,Malaguarrnera et al.,2006,Single hospital or clinic,N,Y,Italy,Europe,70,40,AD,NR,DSM-IV-R; NINCDS-ADRDA; scoring ≤ 4 points on Hachinski’s ischemic score,Plasma,R,2,Y,N,Y,Y,N,ANOVA and Student’s t-test
118,17949824,Motta et al.,2007,Single hospital or clinic,N,Y,Italy,Europe,71,51,AD,R,NINCDS-ADRDA and DSM-IV,Plasma,R,4,Y,N,N,N,N,ANOVA
119,16569464,Alvarez et al.,2007,Single hospital or clinic,N,Y,Spain,Europe,171,141,AD,R,NINCDS-ADRDA and DSM-IV,Serum,R,1,Y,N,N,N,N,ANCOVA
