Supplementary Table 4. Detailed charateristics of included stuides (ordered by total quality score),,,,,,,,,,,,,,,,,,,,,,
120,17761554,Nielsen et al.,2007,Single hospital or clinic,N,N,Sweden,Europe,295,258,AD,NR,NINCDS-ADRDA,Plasma and serum,R,1,Y,N,N,N,N,Mann–Whitney U-test
121,16516234,Richartz-Salzburger et al.,2007,Single hospital or clinic,N,Y,Germany,Europe,77,43,AD,NR,NINCDS-ADRDA,Plasma,R,9,Y,N,N,N,N,Regression
122,17934323,Guerreiro et al. ,2007,Single hospital or clinic,N,Y,Portugal,Europe,60,35,AD,R,NINCDS-ADRDA and DSM-IV,Serum,R,4,Y,N,N,N,N,ANOVA
123,19513308,Choi et al.,2008,Single hospital or clinic,N,Y,Korea,Asia,24,11,AD,NR,NINCDS-ADRDA,Serum,R,16,N,N,N,N,Y,ANOVA with Tukey’s honest signi- ficant-difference post-hoc test
124,18283248,Baranowska et al.,2008,Single hospital or clinic,N,Y,Poland,Europe,124,57,AD,R,NINCDS-ADRDA,Plasma,R,3,N,N,N,N,Y,ANOVA
125,19996595,Forlenza et al.,2009,Single hospital or clinic,N,Y,Brazil,South America,89,58,AD,R,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,ANOVA
126,21463871,Choi et al.,2011,Single hospital or clinic,N,Y,Korea,Asia,100,62,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,1,N,N,N,N,Y,ANOVA
127,21239851,Smith et al.,2011,Single hospital or clinic,N,N,UK,Europe,68,34,AD,R,NINCDS-ADRDA,Plasma,R,2,N,N,N,N,Y,"Student 
t tests"
128,21484243,Corsi et al.,2011,Single hospital or clinic,N,N,Italy,Europe,76,70,AD,NR,NINCDS-ADRDA and DSM-III,Plasma,R,11,N,N,N,N,Y,Mann–Whitney and Kruskall–Wallis tests
129,19395124,Marksteiner et al.,2011,Single hospital or clinic,N,N,Austria,Europe,115,96,AD,NR,NR,Plasma,R,8,N,N,N,N,Y,ANOVA
130,23008797,Balldin et al.,2012,Single hospital or clinic,N,N,US,North America,320,124,AD,NR,NINCDS-ADRDA,Serum,R,5,N,N,N,N,Y,t-tests
131,22539447,Parker et al.,2013,Single hospital or clinic,N,Y,US,North America,64,34,AD,R,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,Linear regression
132,23023094,Llano et al.,2013,Multi-hospital,N,N,USA,North America,167,109,AD,NR,NINCDS-ADRDA,Plasma,R,3,N,N,N,N,Y,ANOVA
133,23874844,Maftei et al.,2013,Single hospital or clinic,N,N,Germany,Europe,87,45,AD,NR,NINCDS-ADRDA and DSM-IV,Serum,R,1,Y,Y,N,N,N,Welch’s two-sample t-tests and receiver-operating characteristic (ROC) curve analysis
134,24155977,Westman et al.,2013,Single hospital or clinic,N,Y,Sweden,Europe,110,60,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma and serum,R,5,Y,N,N,N,N,Mann–Whitney U test
135,24916542,Edwards et al.,2014,Single hospital or clinic,N,N,US,North America,266,129,AD,R,NINCDS-ADRDA,Serum,NR,2,N,N,N,N,Y,Logistic Regressions
136,24804776,Westman et al.,2014,Single hospital or clinic,N,Y,Sweden,Europe,65,30,AD,NR,"NINCDS-ADRDA
 DSM-IV ",Plasma,R,9,Y,Y,N,N,N,non-parametric Mann-Whitney U-test
137,26738345,Kizilarslanoğlu et al.,2015,Single hospital or clinic,N,Y,Turkey,Europe & Asia,70,32,AD,NR,"NINCDS-ADRDA
DSM-IV",Serum,R,3,N,N,N,N,Y,Mann–Whitney U test
138,26706786,Yu et al.,2016,Single hospital or clinic,N,Y,China,Asia,90,50,AD,NR,DSM-IV; NINCDS-ADRDA,Serum,R,2,Y,Y,N,N,N,independent Student's t-test
139,26828804,Savas at al.,2016,Single hospital or clinic,N,Y,Turkey,Europe & Asia,97,59,AD,NR,NINCDS-ADRDA,Plasma,R,3,N,N,N,N,Y,"For continuous variables, the differences between the AD and control groups were assessed using the Mann–Whitney U-test."
140,26337250,Bozluolcay et al.,2016,Single hospital or clinic,N,N,Turkey,Europe & Asia,55,30,AD,NR,NINCDS-ADRDA,Serum,R,4,Y,N,N,N,N,"non-parametric Kruskal–Wallis test
Mann–Whitney U-test"
141,28461186,Fan et al.,2017,Single hospital or clinic,N,Y,China,Asia,375,185,AD,NR,NINCDS-ADRDA,Plasma,R,3,N,N,N,N,Y,"Logistic 
regression"
142,29039020,Magalhães et al.,2018,Single hospital or clinic,N,Y,US,North America,75,33,AD,R,"NIA/AA
Clinical Dementia Rating (CDR) [24] score of 0.5 or 1
CDR score",Serum,R,4,N,N,N,N,Y,chi square test
143,29420357,Nikolaos et al.,2018,Single hospital or clinic,N,N,Athen,Europe,84,61,AD,NR,NINCDS-ADRDA,Serum,R,4,N,N,N,N,Y,nonparametric Kruskal–Wallis (KW) test; Dunn's correction for type I error; Mann–Whitney U test
144,32630059,Scott et al.,2020,Multi-hospital,N,Y,US ,North America,104,32,AD,NR,NR,Serum,R,5,Y,Y,N,N,N,models
145,32678011,Liang et al.,2020,Single hospital or clinic,N,Y,Taiwan,Asia,102,76,AD,NR,"MMSE, Clinical Dementia Rating (CDR), Hopkins Verbal Learning Test (HVLT), and Hachinski Ischemia Scale (HIS) and HIA-AA",Plasma,R,1,N,N,N,N,Y,"Categorical variables were analyzed using Pearson’s chi- square test, and continuous variables were analyzed using Student’s t test or the Mann-Whitney test."
146,32505187,Saresella at al.,2020,Single hospital or clinic,N,Y,Italy,Europe,60,30,AD,NR,NINCDS-ADRDA,Serum,R,5,Y,Y,N,N,N,Kruskal-Wallis ANOVA; 2-tailed Mann-Whitney U test
147,33810505,"Chiurchiù
 et al.",2021,Single hospital or clinic,N,Y,Italy,Europe,30,15,AD,NR,Dubois et al. criteria 2010,Plasma,R,4,Y,Y,N,N,N,"non-parametrical Mann–Whitney U test, one-way ANOVA followed by the Tukey test."
148,35139899,Hou et al.,2022,Multi-hospital,N,Y,US,North America,364,196,AD,NR,NR,Plasma and serum,NR,2,N,N,N,N,Y,Chi-square analysis and non-parametric analysis
149,35342094,Zhang et al.,2022,Single hospital or clinic,N,Y,China,Asia,738,NR,AD,R,NIA-AA,Plasma and serum,R,2,N,N,N,N,Y,ANCOVA
150,6982128,Macdonald et al.,1982,Single hospital or clinic,N,Y,UK,Europe,82,41,AD,NR,NR,Plasma,R,4,Y,N,N,N,N,ANOVA
151,2690117,Matsubara et al.,1989,Single hospital or clinic,N,Y,Japan,Asia,97,20,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,"Student’s t tests, Cochran-cox test"
152,2147546,Matsubara et al.,1990,Single hospital or clinic,N,Y,Japan,Asia,127,38,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Student’s t test and/or the Cochran-Cox test.
153,1927262,Esumi et al.,1991,Single hospital or clinic,N,Y,Japan,Asia,32,22,AD,NR,DSM-III,Serum,R,1,Y,Y,N,N,N,Wilcoxon's rank sum test
154,1950471,Araga et al.,1991,Single hospital or clinic,N,Y,Japan,Asia,87,50,AD,NR,DSM-III-R,Serum,R,3,Y,N,N,N,N,Mann–Whitney
155,1564514,Pirttila et al.,1992,Single hospital or clinic,N,Y,Finland,Europe,68,33,AD,NR,NINCDS-ADRDA,Plasma and serum,R,1,Y,N,N,N,N,ANOVA
156,8532107,Lieberman et al.,1995,Single hospital or clinic,N,Y,USA,North America,143,57,AD,NR,DSM-III,Serum,R,1,N,N,N,N,Y,ANOVA
157,7487688,Hu et al.,1995,Single hospital or clinic,N,Y,Australia,Australia,43,20,AD,NR,DSM-III,Plasma,R,4,N,N,N,N,Y,ANOVA
158,8939278,Licastro et al.,1996,Single hospital or clinic,N,Y,Italy,Europe,21,11,AD,R,NINCDS-ADRDA; DSM-III-R,Serum,R,1,N,N,N,N,Y,student's t test
159,9447570,Singh et al.,1997,Single hospital or clinic,N,Y,USA,North America,39,22,AD,NR,NINCDS-ADRDA,Plasma,R,4,Y,Y,N,N,N,Student t test
160,9194954,Hamepl et al.,1997,Single hospital or clinic,N,N,Germany,Europe,62,51,AD,NR,"NINCDS-ADRDA, DSM-III-R",Serum,R,1,N,N,N,N,Y,ANOVA
161,9825023,Bonaccorso et al.,1998,Single hospital or clinic,N,Y,US,North America,30,15,AD,NR,DSM-III-R,Serum,R,2,Y,N,N,N,N,ANOVAs
162,11378247,Scacchi et al.,2001,Single hospital or clinic,N,Y,Italy,Europe,241,85,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,Nephelometric assay
163,12218645,Borroni et al.,2002,Single hospital or clinic,N,Y,Italy,Europe,60,30,AD,NR,NINCDS-ADRDA; CDR<1,Plasma,R,1,Y,Y,N,N,N,Kruskal-Wallis test
164,12059070,Scacchi et al.,2002,Single hospital or clinic,N,Y,Italy,Europe,250,93,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,N,N,N,N,Parametric (ANOVA) and non- parametric (Kruskall-Wallis) tests were performed to compare the α2M mean plasma levels associated with the different α2M and APOE genotypic classes.
165,12928049,Sala et al.,2003,Single hospital or clinic,N,Y,Italy,Europe,48,32,AD,R,NINCDS-ADRDA and DSM-IV,Plasma,R,3,Y,N,N,N,N,ANOVA
166,15992563,Richartz et al.,2005,Single hospital or clinic,N,Y,Germany,Europe,52,27,AD,NR,NINCDS-ADRDA,Plasma,R,4,N,N,N,N,Y,Wilcoxon rank sum test and χ2 test
167,15677865,Richartz et al.,2005,Single hospital or clinic,N,Y,Germany,Europe,50,27,AD,NR,NINCDS-ADRDA,Plasma,R,4,Y,N,N,N,N,Wilcoxon rank sum test and χ2 test
168,16688597,Rota et al.,2006,Single hospital or clinic,N,Y,Italy,Europe,55,30,AD,NR,"DSM-IV; NINCDS-ADRDA
",Serum,R,4,Y,N,N,N,N,Nonparametric tests
169,17827418,Rentzos et al.,2007,Single hospital or clinic,N,Y,Greece,Europe,35,15,AD,NR,"NINCDS-ADRDA, NINDS-AIREN",Serum,R,1,N,N,N,N,Y,ANOVA
170,18690833,Kassner et al.,2008,Single hospital or clinic,N,Y,Germany,Europe,10,5,AD,NR,NINCDS-ADRDA,Plasma,R,5,Y,N,N,N,N,Mann Whitney U or by the unpaired Student’s t-test
171,18378357,Schuitemaker et al.,2009,Single hospital or clinic,N,Y,Netherlands,Europe,212,145,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,ANCOVA
172,19809863,Lepara et al.,2009,Single hospital or clinic,N,Y,Bosnia and Herzegovina,Europe,60,30,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,Student t tests or Mann– Whitney test
173,21466745,Laske et al.,2011,Single hospital or clinic,N,N,Germany,Europe,230,130,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Best-performing radial basis function (RBF) kernel-based SVM
174,21875409,Hochstress et al.,2012,Single hospital or clinic,N,Y,Austria,Europe,60,34,AD,NR,NINCDS-ADRDA,NR,R,7,N,N,N,N,Y,ANOVA
175,22303443,Westin et al.,2012,Single hospital or clinic,N,Y,Sweden,Europe,72,42,AD,NR,DSM-IIIR; NINCDS-ADRDA,Plasma,R,4,N,N,N,N,Y,Mann-Whitney U-test
176,23242124,Alsadany et al.,2013,Single hospital or clinic,N,Y,Egypt,Asia & Africa,50,25,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,1,N,N,N,N,Y,Student t test or Mann-Whitney test
177,23201485,Salani et al.,2013,Single hospital or clinic,N,Y,Italy,Europe,38,13,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,Mann–Whitney U test
178,23585364,Richardson et al.,2013,Single hospital or clinic,N,Y,UK,Europe,101,66,AD,NR,NINCDS-ADRDA,Serum,R,3,N,N,N,N,Y,Kruskal–Wallistests
179,23230229,Huang et al.,2013,Single hospital or clinic,N,Y,China,Asia,47,28,AD,NR,DSM-IV,Plasma and serum,R,2,N,N,N,N,Y,Nonpaired t tests and Mann-Whitney tests
180,23515357,Biella et al.,2013,Single hospital or clinic,N,N,Italy,Europe,56,33,AD,NR,NINCDS-ADRDA,Serum,R,5,N,N,N,N,Y,ANOVA
181,23948885,Gezen-Ak et al.,2013,Single hospital or clinic,N,Y,Turkey ,Europe & Asia,126,76,AD,NR,DSM-IV,Serum,R,2,Y,N,N,N,N,ANOVA
182,23871825,Gubandru et al.,2013,Single hospital or clinic,Y,Y,Romania,Europe,31,21,AD,NR,NR,Serum,R,2,N,N,N,Y,N,Kolmogorov–Smirnov test followed by Mann–Whitney
183,24333505,Marksteiner et al.,2014,Single hospital or clinic,N,Y,Austria,Europe,56,33,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,ANOVA
184,25277040,Lueg et al.,2015,Single hospital or clinic,N,Y,Germany,Europe,60,46,AD,NR,NR,Plasma,R,1,N,N,N,N,Y,ANOVA and χ2 tests
185,26004156,Dursun et al.,2015,Single hospital or clinic,N,Y,Turkey,Europe & Asia,127,74,AD,NR,MMSE,Serum,R,1,Y,N,N,N,N,Multiple regression analysis
186,27671345,Hesse et al.,2016,Single hospital or clinic,N,Y,Germany,Europe,60,36,AD,NR,NINCDS/ADRDA; DSM-IV-TR,Serum,R,3,Y,N,N,N,N,Mann-Whitney rank sum test
187,28130814,Kim et al.,2017,Single hospital or clinic,N,Y,Korea,Asia,63,35,AD,NR,NINCDS-ADRDA,Plasma,R,2,N,N,N,N,Y,ANOVA and χ2 tests
188,24877062,Crispoltoni et al.,2017,Single hospital or clinic,N,Y,Italy,Europe,49,36,AD,R,NINCDS-ADRDA,Plasma,R,1,Y,N,N,Y,N,ANOVA and student t test
189,32649324,Tramutola et al.,2018,Single hospital or clinic,N,Y,Italy,Europe,38,19,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,Y,N,N,N,Student's t-test
190,29369398,Dong et al.,2018,Single hospital or clinic,N,Y,US,North America,64,42,AD,NR,"(1) progressive episodic memory impairment, characterized by low free recall not normalized by semantic cueing17,18; (2) absence of extrapyramidal signs; and (3) a cerebrospinal fluid (CSF) profile of AD, when available, defined as a score <0.8, cal- culated with the formula amyloid-b42/[240 1 (1.18 3 T-tau)] (4) CDR<0.5",Serum,R,2,Y,N,N,N,N,ANOVA
191,31217537,Ciccocioppo et al.,2019,Single hospital or clinic,N,Y,Italy,Europe,18,10,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,Y,N,N,N,Mann-Whitney U test
192,35708851,Sochocka et al.,2022,Single hospital or clinic,N,Y,Poland,Europe,39,22,AD,NR,DSM-V and NINCDS-ADRDA,Plasma and serum,R,4,Y,N,N,N,N,t-student test
193,35922871,Prins et al.,2022,Single hospital or clinic,N,Y,Netherlands,Europe,100,50,AD,NR,NR,Plasma,R,3,N,N,N,N,Y,ANCOVA
194,3155531,Leffell et al.,1985,Single hospital or clinic,N,Y,USA,North America,60,30,AD,NR,NR,Serum,R,1,Y,N,N,N,N,ANOVA
195,3487743,Small et al.,1986,Single hospital or clinic,N,Y,US,North America,51,26,AD,R,DSM-III,Plasma and serum,R,1,N,N,N,N,Y,one-tailed Fisher Exact Test
196,2452738,Giometto et al.,1988,Single hospital or clinic,N,Y,Italy ,Europe,38,20,AD,NR,NINCDS-ADRDA,Serum,R,4,Y,N,N,N,N,Student’s t tests
197,1683096,Ikeda et al.,1991,Single hospital or clinic,N,Y,Japan,Asia,26,13,AD,NR,"NINCDS-ADRDA, DSM-III-R",Plasma,R,2,N,Y,N,N,N,Mann–Whitney
198,7936055,Pirttila et al.,1994,Single hospital or clinic,N,Y,Finland,Europe,82,40,AD,NR,NINCDS-ADRDA,Serum,R,2,Y,N,N,N,N,Kruskall-Wallis one-way ANOVA
199,9405000,Kira et al.,1997,Single hospital or clinic,N,Y,Japan,Asia,149,13,AD,R,"NINCDS-ADRDA, DSM-III-R",Serum,R,1,N,N,N,N,Y,NR
200,11268360,Solerte et al.,2000,Single hospital or clinic,N,Y,Italy,Europe,37,22,AD,NR,DMS III-R; NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,ANOVA
201,11236825,Licastro et al.,2001,Single hospital or clinic,N,Y,Italy,Europe,22,11,AD,NR,NINCDS-ADRDA and DSM-III,Plasma,R,2,N,N,N,N,Y,ANOVA
202,11240564,Tarkowski et al.,2001,Single hospital or clinic,N,Y,Sweden,Europe,35,20,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,Student's test
203,11589916,De Luigi et al.,2001,Single hospital or clinic,N,Y,Switzerland,Europe,87,44,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,N,N,N,N,Student's test
204,11992567,Shibata et al.,2002,Multi-hospital,N,Y,Japan,Asia,41,15,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,Mann-Whitney’s U test
205,11893840,Richartz et al.,2002,Single hospital or clinic,N,Y,Germany,Europe,36,19,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,Wilcoxon rank sum test and ̄2 test
206,12664314,Bagli et al.,2003,Single hospital or clinic,N,Y,Germany,Europe,83,58,AD,NR,NINCDS-ADRDA,Plasma,R,2,Y,N,N,N,N,Student's test
207,14512725,Dziedzic et al.,2003,Single hospital or clinic,N,Y,Poland,Europe,30,18,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,Mann–Whitney
208,15533994,Rezento et al.,2004,Single hospital or clinic,N,Y,Greece,Europe,40,25,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Mann-Whitney U test
209,15843049,Lindberg et al.,2005,Single hospital or clinic,N,Y,Sweden,Europe,23,12,AD,R,NINCDS-ADRDA and DSM-IV,Serum,R,2,N,N,N,N,Y,"Kruskall–Wallis, Mann–Whitney"
210,16783499,Yasutake et al.,2006,Single hospital or clinic,N,Y,Japan,Asia,93,60,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,ANOVA;Student’s t-test
211,17388976,Galimbert et al.,2007,Single hospital or clinic,N,Y,Italy,Europe,77,48,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,Y,N,Mann–Whitney U-test
212,17917159,Zaciragic et al.,2007,Single hospital or clinic,N,Y,Bosnia and Herzegovina,Europe,30,15,AD,NR,NINCDS-ADRDA,Plasma and serum,R,1,Y,N,N,N,N,Mann-Whitney U Tests
213,18841009,Nilsson et al.,2008,Single hospital or clinic,N,Y,Sweden,Europe,428,80,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Mann-Whitney U test
214,18992723,Yang et al.,2009,Single hospital or clinic,N,Y,China,Asia,233,112,AD,NR,NINCDS-ADRDA and DSM-III,Serum,R,1,Y,Y,N,N,N,Logistic regression analysis
215,19494434,Larbi et al.,2009,Single hospital or clinic,N,Y,Canada,North America,18,12,AD,R,NINCDS-ADRDA and DSM-IV,NR,R,2,Y,N,N,N,N,ANOVA or Student’s t test
216,19766699,Davis et al.,2009,Single hospital or clinic,N,Y,Trinidad and Tobago,South America,69,18,AD,NR,"NINCDS-ADRDA and DSM-IV, NINDS-AIREN",Serum,R,1,Y,N,N,N,N,NR
217,20167378,Geppert et al.,2010,Single hospital or clinic,N,Y,Poland,Europe,41,22,AD,NR,"DSM IIIR, NINCDS-ADRDA",Plasma,R,1,Y,N,N,N,N,U Mann–Whitney tests.
218,21633502,Bigalke et al.,2011,Single hospital or clinic,N,Y,Germany,Europe,78,41,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,1,N,N,N,N,Y,Mann-Whitney U-test
219,21729423,Rasmuson et al.,2011,Single hospital or clinic,N,Y,Sweden,Europe,30,15,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Linear regression model
220,22264991,Chen et al.,2012,Single hospital or clinic,N,Y,China,Asia,65,43,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,Y,N,N,"ANOVA test, post hoc Least significant test, Kruskal–Wallis test, Mann–Whitney U test and chi-square test"
221,23380586,Zhang et al.,2013,Single hospital or clinic,N,Y,US,North America,72,41,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,N,N,N,N,Linear regression
222,23576854,Sun et al.,2013,Single hospital or clinic,N,Y,China,Asia,55,35,AD,NR,NINCDS-ADRDA and DSM-IV,Serum,R,1,N,N,N,N,Y,"Student’s t-test, paired t-test, analysis of variance (ANOVA)"
223,24405824,Fukasawa et al.,2014,Single hospital or clinic,N,Y,US,North America,74,49,AD,NR,NR,Plasma,R,1,N,N,N,Y,N,"Student’s t-test, the χ2-test, analysis of covariance (ANCOVA) and Spearman’s rank correlation test."
224,26283879,Song et al.,2015,Single hospital or clinic,N,Y,Korea,Asia,851,532,AD,NR,NINCDS-ADRDA,Serum,NR,1,N,N,N,N,Y,ANOVA
225,25408215,Bulati et al.,2015,Single hospital or clinic,N,Y,US,North America,50,35,AD,R,NINCDS-ADRDA,Plasma,R,1,Y,N,N,N,N,Mann–Whitney nonparametric U test
226,30071285,Kilic et al.,2018,Single hospital or clinic,N,Y,Turkey,Europe & Asia,129,49,AD,NR,NINCDS-ADRDA,Plasma and serum,R,3,N,N,N,N,Y,one-way ANOVA; Tukey's High Significant Difference (HSD) test
227,6631444,Alafuzoff et al.,1983,Single hospital or clinic,N,Y,Sweden,Europe,36,20,AD,NR,NR,Plasma,R,3,Y,N,N,N,N,NR
228,8164471,Cacabelos et al.,1994,Single hospital or clinic,N,Y,Spain,Europe,26,14,AD,NR,NINCDS-ADRDA; DSM-III-R,Serum,R,1,Y,N,N,N,N,ANOVA； student t test
229,8780841,Lawlor et al.,1996,Single hospital or clinic,N,Y,Ireland,Europe,32,17,AD,NR,NINCDS-ADRDA,Plasma and serum,R,2,N,N,N,N,Y,ANOVA
230,9370085,Licastro et al.,1997,Single hospital or clinic,N,Y,Italy,Europe,30,20,AD,NR,"DSM III-R, NINCDS-ADRDA",Serum,R,2,N,N,N,N,Y,two-tailed Student’s t test
231,10504008,Maes et al.,1999,Single hospital or clinic,N,Y,Belgium,Europe,30,15,AD,NR,DSM-IV,Plasma and serum,R,2,Y,N,N,N,N,ANOVA and ANCOVA
232,10369114,Leblhuber et al.,1999,Single hospital or clinic,N,Y,Austria,Europe,38,24,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Mann–Whitney
233,11186601,Hull et al.,2000,Single hospital or clinic,N,Y,US,North America,89,51,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,N,N,N,N,2-tailed t tests
234,12175481,De Servi et al.,2002,Single hospital or clinic,N,Y,Italy,Europe,71,48,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,ANOVA
235,15501026,Mocali et al.,2004,Single hospital or clinic,N,Y,Italy,Europe,58,18,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,ANOVA
236,17988833,Bossu et al.,2008,Single hospital or clinic,N,Y,Italy,Europe,55,30,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,ANOVA
237,18367253,Bermejo et al.,2008,Single hospital or clinic,N,Y,Spain,Europe,73,45,AD,NR,NINCDS-ADRDA,Plasma,R,3,Y,N,N,N,N,Duncan’s test
238,19329192, Avagyan et al.,2009,Single hospital or clinic,N,Y,US,North America,61,35,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,"T-test,
Mann–Whitney"
239,19836632,Mancinella et al,2009,Single hospital or clinic,N,Y,Italy,Europe,133,34,AD,NR,"NINCDS-ADRDA and DSM-IV, NINDS-AIREN",Plasma,R,1,N,N,N,N,Y,ANOVA
240,23432970,Porcellini et al.,2013,Single hospital or clinic,N,Y,Italy,Europe,439,291,AD,NR,NINCDS-ADRDA and DSM-III,Plasma,R,1,N,N,N,N,Y,ANOVA
241,24831467,Belkhelfa et al.,2014,Single hospital or clinic,N,Y,Algeria,Africa,34,25,AD,R,NR,Plasma,R,2,N,N,N,N,Y,ANOVA
242,25720398,Le Page et al.,2015,Single hospital or clinic,N,Y,Canada,North America,21,11,AD,NR,NINCDS-ADRDA,Plasma,NR,5,N,N,N,N,Y,ANOVA
243,Not in Pubmed,Kim et al.,2015,Single hospital or clinic,N,Y,Korea,Asia,80,56,AD,NR,NINCDS-ADRDA,Serum,R,4,N,N,N,N,Y,ANOVA
244,26402766,Busse et al.,2015,Single hospital or clinic,N,Y,Germany,Europe,60,23,AD,NR,NR,Plasma,R,3,Y,N,N,N,N,Student’s t test or ANOVA
245,29966192,Bartos et al.,2018,Single hospital or clinic,N,Y,Czech Republic,Europe,100,49,AD,NR,NIA-AA,Serum,R,4,Y,N,N,N,N,"Mann-Whitney U test
Wilcoxon pair test"
246,3522239,Alafuzoff et al.,1986,Single hospital or clinic,N,Y,Sweden,Europe,31,20,AD,R,DSM-III,Plasma,R,1,Y,N,N,N,N,NR
247,1745413,Fillit et al.,1991,Single hospital or clinic,N,Y,USA,North America,33,24,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,Student's test
248,22026253,Cojocaru et al. ,2011,Single hospital or clinic,N,Y,Romania,Europe,94,47,AD,NR,NR,Serum,R,1,N,N,N,N,Y,Student’s t test
249,26142708,Busse et al.,2015,Single hospital or clinic,N,Y,Germany,Europe,38,24,AD,NR,NR,Plasma,R,1,N,N,N,N,Y,NR
250,28386987,Kalelioglu et al.,2017,Single hospital or clinic,N,Y,Turkey,Europe & Asia,62,31,AD,NR,NR,NR,NR,2,N,N,N,N,Y,ANOVA
251,32474469,Chen et al.,2020,Single hospital or clinic,N,Y,US,North America,36,18,AD,NR,NR,Plasma,R,2,Y,N,N,N,N,Student’s T test or ANOVA
Footnote: Stuides were ordered by total score of quality assessment.,,,,,,,,,,,,,,,,,,,,,,