PMID,Authors,Publication year,Total,Representativenss,Sample_size,Follow_up,ADRD_assessment,Biomarker_assessment,Systematic_assessment,Comparison_selection,Statistical_methods,Confounding_adjustment,Finding_reporting
35079124,Zhang et al.,2022,19,2,2,2,1,2,2,2,2,2,2
20847399,Gu et al.,2010,17,2,2,2,1,2,0,2,2,2,2
15148142,Engelhart et al.,2004,16,2,1,2,1,2,1,2,2,1,2
17011077,Ravaglia et al.,2007,16,2,2,2,1,2,1,2,2,0,2
16269641,van Oijen et al.,2005,15,2,2,2,1,2,0,2,2,0,2
19542629,Sundelöf et al.,2009,15,2,2,2,1,2,0,2,2,0,2
26673814,Hendrie et al.,2015,15,2,1,2,1,1,0,2,2,2,2
26891108,Ritche et al.,2016,15,2,2,2,1,2,1,1,2,1,1
31450497,Andre et al.,2019,15,1,1,2,1,2,0,2,2,2,2
32557792,Thomas et al.,2020,15,2,0,2,2,2,2,1,2,0,2
34602472,Hao et al.,2021,15,0,1,0,2,2,2,2,2,2,2
17536046,Tan et al.,2007,14,2,1,2,1,2,0,2,2,0,2
19933496,O‘Bryant et al.,2010,13,1,1,0,1,2,0,2,2,2,2
25138786,Chen et al.,2014,13,2,1,0,1,2,1,1,2,1,2
24907904,Rembach et al.,2014,13,1,1,2,1,2,0,2,2,0,2
28159467,Hsu et al.,2017,13,2,2,2,1,0,0,2,1,2,1
30646251,Tao et al.,2018,13,2,2,2,0,2,0,2,2,0,1
34237731,Baril et al.,2021,13,2,0,2,1,2,0,2,2,0,2
32860698,Baril et al.,2021,13,2,0,2,1,2,0,2,2,0,2
16817867,Rosa et al.,2006,12,0,0,2,1,1,1,2,1,2,2
16814429,Speciale et al.,2007,12,1,1,0,2,2,1,1,1,1,2
22801742,Doecke et al.,2012,12,1,1,0,0,2,1,2,2,1,2
22801723,Soares et al.,2012,12,1,1,2,0,2,2,1,2,0,1
27019866,O_Bryant et al.,2016,12,1,1,0,1,2,2,0,1,2,2
33016923,Duarte et al.,2020,12,1,1,0,1,2,2,0,2,2,1
31414991,Josje et al.,2020,12,1,1,0,1,2,2,0,2,1,2
32968032,Amin et al.,2020,12,2,0,0,1,2,2,0,2,1,2
34365256,Naudé et al.,2021,12,1,1,2,1,2,0,1,2,1,1
12509851,Dekosky et al.,2002,11,0,1,0,1,2,0,2,2,1,2
16307829,Galimberti et al.,2006,11,1,1,0,2,2,0,0,2,1,2
21116047,Eriksson et al.,2011,11,2,1,0,1,2,0,0,2,1,2
22272623,Reale et al.,2012,11,0,0,0,1,2,1,2,2,2,1
22133543,Helmy et al.,2012,11,0,0,0,1,2,0,2,2,2,2
22437436,Uslu et al.,2012,11,1,0,0,1,2,1,1,2,1,2
23978419,Yarchoan et al.,2013,11,0,1,2,1,2,0,1,2,1,1
22535710,Honma et al.,2013,11,1,0,2,1,2,0,1,2,0,2
27104907,Cestari et al.,2016,11,0,0,0,1,2,1,2,1,2,2
26599049,Sattlecker et al.,2016,11,1,1,2,0,2,2,1,2,0,0
27215446,Hansi et al.,2017,11,0,0,0,1,2,2,0,2,2,2
31047856,Morgan et al.,2019,11,1,1,0,1,2,2,0,2,0,2
32289574,Abe et al.,2020,11,1,1,0,0,2,1,0,2,2,2
35465006,Lu et al.,2022,11,0,0,0,1,2,2,2,1,2,1
3718071,Endo et al.,1986,10,0,1,0,1,2,2,0,2,0,2
10408971,Lombardi et al.,1999,10,0,0,0,2,2,2,0,2,0,2
10713585,Mcllroy et al.,2000,10,0,1,0,1,2,0,1,2,1,2
12210786,Schmidt et al.,2002,10,0,1,2,1,2,0,0,2,0,2
NIP1,Zhang et al.,2003,10,0,0,0,2,2,1,1,1,1,2
15817002,Yamamoto et al.,2005,10,0,0,0,1,2,1,1,2,1,2
16442186,Ciabattoni et al.,2007,10,0,0,0,1,2,1,1,2,1,2
18430978,Oztürk et al.,2007,10,0,0,0,1,2,2,0,2,1,2
17986101,Rodríguez-Rodríguez et al.,2007,10,2,1,0,1,2,0,1,1,1,1
17123665,Desideri et al.,2008,10,1,1,0,1,2,0,1,2,1,1
19638714,Ban et al.,2009,10,0,1,0,1,2,0,1,2,1,2
21252539,Mansoori et al.,2010,10,1,1,0,1,2,0,1,2,1,1
20930310,Diniz et al.,2010,10,0,0,1,1,2,1,1,1,1,2
22089638,Llano et al.,2012,10,0,0,0,1,2,2,0,2,1,2
22922667,Kuyumcu et al.,2012,10,0,1,0,1,2,0,1,2,1,2
22279551,Bjorkqivst et al.,2012,10,0,1,0,1,2,2,0,2,0,2
23368432,Bai et al.,2013,10,0,1,0,1,2,0,1,2,1,2
23762274,Leung et al.,2013,10,1,0,0,1,2,2,0,2,0,2
24635842,Zhang et al.,2014,10,0,1,0,2,2,1,0,2,1,1
24910016,Bu et al.,2015,10,0,1,0,1,2,1,1,1,1,2
26725994,Miwa et al.,2016,10,0,0,2,1,2,0,2,2,0,1
28421328,Bednarska-Makaruk et al.,2017,10,0,1,0,1,2,0,0,2,2,2
31335454,Cipollini et al.,2019,10,0,0,0,1,2,0,2,1,2,2
30902060,Startin et al.,2019,10,1,0,0,0,2,2,1,1,1,2
31866854,Dong et al.,2019,10,0,1,0,1,2,0,1,2,1,2
30993722,King et al.,2019,10,1,0,0,1,2,2,0,2,0,2
33851590,Dubenko et al.,2021,10,0,0,0,1,2,0,2,1,2,2
33313759,Yeung et al.,2021,10,2,2,0,0,1,2,0,2,0,1
30871733,Garfias et al.,2022,10,0,0,2,1,2,1,1,1,1,1
2304653,Van Dujin et al.,1990,9,1,1,0,1,2,0,1,1,1,1
1432847,Dysken et al.,1992,9,1,0,0,1,2,0,1,1,1,2
15707465,Gupta et al.,2005,9,0,0,0,1,2,0,1,2,1,2
16600299,Zuliani et al.,2007,9,0,1,0,1,2,1,0,2,0,2
18930766,Lee et al.,2008,9,0,0,0,1,2,2,0,1,1,2
18835787,Ait-ghezal et al.,2008,9,0,1,0,1,2,0,0,2,1,2
18991685,Porcellini et al.,2008,9,0,1,0,2,2,0,0,1,1,2
18037502,Bonotis et al.,2008,9,0,0,0,2,2,2,0,1,0,2
18597785,Zuliani et al.,2008,9,0,0,0,2,2,1,0,2,0,2
19767111,Kamer et al.,2009,9,0,0,0,1,2,1,0,2,1,2
19728317,Higuchi et al.,2009,9,0,0,0,2,2,0,1,1,1,2
18996438,Buchhave et al.,2009,9,0,0,2,1,2,0,1,1,0,2
21569380,Kim et al.,2011,9,2,0,0,1,2,1,0,1,1,1
21442044,Rosen et al.,2011,9,0,0,0,1,2,2,0,2,0,2
23254637,O’Bryant et al.,2013,9,2,0,0,1,2,0,0,1,1,2
23207486,Laske et al.,2013,9,0,0,0,1,2,2,1,2,1,0
22596080,Butchart et al.,2013,9,2,0,0,1,2,0,0,2,0,2
24576746,Faria et al.,2014,9,0,1,0,1,2,0,0,2,1,2
24318929,Wang et al.,2014,9,0,1,0,1,2,0,0,2,1,2
26675645,Wu et al.,2015,9,0,0,0,1,2,1,0,2,1,2
26379616,Delaby et al.,2015,9,0,0,0,1,2,2,0,2,0,2
26444787,Agostini et al.,2016,9,0,1,0,1,2,0,0,2,1,2
26515085,Dukic et al.,2016,9,0,1,0,1,2,0,0,2,1,2
27229914,Villarreal et al.,2016,9,0,0,0,1,2,2,0,2,0,2
28239640,Zhu et al.,2017,9,0,1,0,0,2,1,0,2,1,2
29248892,King et al.,2018,9,1,0,0,1,2,1,0,2,0,2
29352259,Lee et al.,2018,9,1,1,0,1,2,0,0,2,0,2
31654714,Fraga et al.,2019,9,0,0,0,1,2,1,1,2,1,1
31658056,Boccardi et al.,2019,9,0,1,0,1,2,2,0,2,0,1
32790155,Gu et al.,2020,9,0,0,0,1,2,1,1,1,1,2
32998767,Chua et al.,2020,9,1,1,0,1,2,0,0,1,1,2
35842208,Koca et al.,2022,9,1,0,0,1,2,2,0,2,0,1
35523454,Weber et al.,2022,9,1,1,0,0,2,2,0,2,0,1
1770834,Cacabelos et al.,1991,8,0,0,0,2,2,0,0,2,0,2
8556481,Chao et al.,1994,8,0,0,0,1,2,1,0,2,0,2
7768042,Shalit et al.,1995,8,0,0,0,2,2,1,0,1,0,2
7728215,Altstiel et al.,1995,8,0,1,0,2,2,0,0,1,0,2
8971699,Alvare et al.,1996,8,0,0,0,2,2,0,0,2,0,2
9325475,Kálmán et al.,1997,8,0,0,0,2,2,0,1,1,1,1
10195318,Song et al.,1999,8,0,0,0,1,2,1,0,2,0,2
10674995,Licastro et al.,2000,8,0,1,0,1,2,1,0,2,0,1
12505423,De luigi et al.,2002,8,0,1,0,2,2,1,0,1,0,1
12928051,Licastro et al.,2003,8,1,1,0,1,2,0,0,2,0,1
12928047,Teunissen et al.,2003,8,0,0,0,1,2,1,0,2,0,2
33577998,Fenoglio et al.,2004,8,1,1,0,1,2,0,0,1,0,2
16961066,Malaguarrnera et al.,2006,8,0,0,0,1,2,0,1,1,1,2
17949824,Motta et al.,2007,8,0,0,0,2,2,1,0,1,0,2
16569464,Alvarez et al.,2007,8,0,1,0,2,2,0,0,1,0,2
17761554,Nielsen et al.,2007,8,0,1,0,1,2,0,0,2,0,2
16516234,Richartz-Salzburger et al.,2007,8,0,0,0,1,2,2,0,1,0,2
17934323,Guerreiro et al. ,2007,8,0,0,0,2,2,1,0,1,0,2
19513308,Choi et al.,2008,8,0,0,0,1,2,2,0,1,0,2
18283248,Baranowska et al.,2008,8,0,1,0,2,2,1,0,1,0,1
19996595,Forlenza et al.,2009,8,0,0,0,2,2,0,0,1,1,2
21463871,Choi et al.,2011,8,0,1,0,1,2,0,0,2,1,1
21239851,Smith et al.,2011,8,0,0,0,2,2,0,0,2,0,2
21484243,Corsi et al.,2011,8,0,0,0,1,2,2,0,1,0,2
19395124,Marksteiner et al.,2011,8,0,1,0,0,2,2,0,1,0,2
23008797,Balldin et al.,2012,8,0,1,0,1,2,1,0,2,0,1
22539447,Parker et al.,2013,8,0,0,0,2,2,0,0,1,2,1
23023094,Llano et al.,2013,8,1,0,0,1,2,1,0,2,1,0
23874844,Maftei et al.,2013,8,0,0,0,1,2,0,1,2,1,1
24155977,Westman et al.,2013,8,0,0,0,1,2,1,0,2,0,2
24916542,Edwards et al.,2014,8,0,1,0,2,1,0,0,1,2,1
24804776,Westman et al.,2014,8,0,0,0,1,2,2,1,1,1,0
26738345,Kizilarslano?lu et al.,2015,8,0,0,0,1,2,1,0,2,0,2
26706786,Yu et al.,2016,8,0,0,0,1,2,0,1,2,1,1
26828804,Savas at al.,2016,8,0,0,0,1,2,1,0,1,1,2
26337250,Bozluolcay et al.,2016,8,0,0,0,1,2,1,0,2,0,2
28461186,Fan et al.,2017,8,0,1,0,1,2,1,0,1,0,2
29039020,Magalhães et al.,2018,8,0,0,0,2,2,1,0,1,1,1
29420357,Nikolaos et al.,2018,8,0,0,0,1,2,1,0,2,0,2
32630059,Scott et al.,2020,8,1,0,0,0,2,1,1,1,1,1
32678011,Liang et al.,2020,8,0,1,0,1,2,0,0,1,1,2
32505187,Saresella at al.,2020,8,0,0,0,1,2,1,1,1,1,1
33810505,"Chiurchiù
 et al.",2021,8,0,0,0,1,2,1,1,1,1,1
35139899,Hou et al.,2022,8,1,1,0,0,1,0,0,2,1,2
35342094,Zhang et al.,2022,8,0,0,0,2,2,0,0,2,1,1
6982128,Macdonald et al.,1982,7,0,0,0,0,2,1,0,2,0,2
2690117,Matsubara et al.,1989,7,0,0,0,1,2,0,0,2,0,2
2147546,Matsubara et al.,1990,7,0,0,0,1,2,0,0,2,0,2
1927262,Esumi et al.,1991,7,0,0,0,1,2,0,1,1,1,1
1950471,Araga et al.,1991,7,0,0,0,1,2,1,0,1,0,2
1564514,Pirttila et al.,1992,7,0,0,0,1,2,0,0,2,0,2
8532107,Lieberman et al.,1995,7,0,1,0,1,2,0,0,1,1,1
7487688,Hu et al.,1995,7,0,0,0,1,2,1,0,1,0,2
8939278,Licastro et al.,1996,7,0,0,0,2,2,0,0,1,0,2
9447570,Singh et al.,1997,7,0,0,0,1,2,1,1,1,1,0
9194954,Hamepl et al.,1997,7,0,0,0,1,2,0,0,2,0,2
9825023,Bonaccorso et al.,1998,7,0,0,0,1,2,0,0,2,0,2
11378247,Scacchi et al.,2001,7,0,1,0,1,2,0,0,1,0,2
12218645,Borroni et al.,2002,7,0,0,0,1,2,0,1,1,1,1
12059070,Scacchi et al.,2002,7,0,1,0,1,2,0,0,1,0,2
12928049,Sala et al.,2003,7,0,0,0,2,2,1,0,1,0,1
15992563,Richartz et al.,2005,7,0,0,0,1,2,1,0,1,0,2
15677865,Richartz et al.,2005,7,0,0,0,1,2,1,0,1,0,2
16688597,Rota et al.,2006,7,0,0,0,1,2,1,0,1,0,2
17827418,Rentzos et al.,2007,7,0,0,0,1,2,0,0,2,0,2
18690833,Kassner et al.,2008,7,0,0,0,1,2,1,0,1,0,2
18378357,Schuitemaker et al.,2009,7,0,1,0,1,2,0,0,1,0,2
19809863,Lepara et al.,2009,7,0,0,0,1,2,0,0,2,0,2
21466745,Laske et al.,2011,7,0,1,0,1,2,0,0,2,0,1
21875409,Hochstress et al.,2012,7,0,0,0,1,1,2,0,1,0,2
22303443,Westin et al.,2012,7,0,0,0,1,2,1,0,2,0,1
23242124,Alsadany et al.,2013,7,0,0,0,1,2,0,0,1,1,2
23201485,Salani et al.,2013,7,0,0,0,1,2,0,0,1,1,2
23585364,Richardson et al.,2013,7,0,0,0,1,2,1,0,1,0,2
23230229,Huang et al.,2013,7,0,0,0,1,2,0,0,2,0,2
23515357,Biella et al.,2013,7,0,0,0,1,2,1,0,1,0,2
23948885,Gezen-Ak et al.,2013,7,0,1,0,1,2,0,0,2,0,1
23871825,Gubandru et al.,2013,7,0,0,1,0,2,0,0,2,0,2
24333505,Marksteiner et al.,2014,7,0,0,0,1,2,0,0,1,1,2
25277040,Lueg et al.,2015,7,0,0,0,0,2,0,0,2,1,2
26004156,Dursun et al.,2015,7,0,1,0,1,2,0,0,2,0,1
27671345,Hesse et al.,2016,7,0,0,0,1,2,1,0,2,0,1
28130814,Kim et al.,2017,7,0,0,0,1,2,0,0,1,1,2
24877062,Crispoltoni et al.,2017,7,0,0,0,2,2,0,0,1,0,2
32649324,Tramutola et al.,2018,7,0,0,0,1,2,0,1,1,1,1
29369398,Dong et al.,2018,7,0,0,0,1,2,0,0,2,0,2
31217537,Ciccocioppo et al.,2019,7,0,0,0,1,2,0,1,1,1,1
35708851,Sochocka et al.,2022,7,0,0,0,1,2,1,0,1,0,2
35922871,Prins et al.,2022,7,0,1,0,0,2,1,0,1,0,2
3155531,Leffell et al.,1985,6,0,0,0,0,2,0,0,1,1,2
3487743,Small et al.,1986,6,0,0,0,2,2,0,0,1,0,1
2452738,Giometto et al.,1988,6,0,0,0,1,2,1,0,1,0,1
1683096,Ikeda et al.,1991,6,0,0,0,1,2,0,0,1,0,2
7936055,Pirttila et al.,1994,6,0,0,0,1,2,0,0,1,0,2
9405000,Kira et al.,1997,6,0,0,0,2,2,0,0,1,0,1
11268360,Solerte et al.,2000,6,0,0,0,1,2,0,0,1,0,2
11236825,Licastro et al.,2001,6,0,0,0,1,2,0,0,2,0,1
11240564,Tarkowski et al.,2001,6,0,0,0,1,2,0,0,1,0,2
11589916,De Luigi et al.,2001,6,0,0,0,1,2,0,0,1,0,2
11992567,Shibata et al.,2002,6,1,0,0,1,2,0,0,1,0,1
11893840,Richartz et al.,2002,6,0,0,0,1,2,0,0,1,0,2
12664314,Bagli et al.,2003,6,0,0,0,1,2,0,0,1,0,2
14512725,Dziedzic et al.,2003,6,0,0,0,1,2,0,0,1,0,2
15533994,Rezento et al.,2004,6,0,0,0,1,2,0,0,1,0,2
15843049,Lindberg et al.,2005,6,0,0,0,2,2,0,0,1,0,1
16783499,Yasutake et al.,2006,6,0,0,0,1,2,0,0,1,0,2
17388976,Galimbert et al.,2007,6,0,0,0,1,2,0,0,1,1,1
17917159,Zaciragic et al.,2007,6,0,0,0,1,2,0,0,2,0,1
18841009,Nilsson et al.,2008,6,0,1,0,1,2,0,0,1,0,1
18992723,Yang et al.,2009,6,0,0,0,1,2,0,1,1,1,0
19494434,Larbi et al.,2009,6,0,0,0,2,1,0,0,1,0,2
19766699,Davis et al.,2009,6,0,0,0,1,2,0,0,1,0,2
20167378,Geppert et al.,2010,6,0,0,0,1,2,0,0,1,0,2
21633502,Bigalke et al.,2011,6,0,0,0,1,2,0,0,2,0,1
21729423,Rasmuson et al.,2011,6,0,0,0,1,2,0,0,2,0,1
22264991,Chen et al.,2012,6,0,0,0,1,2,0,0,1,0,2
23380586,Zhang et al.,2013,6,0,0,0,1,2,0,0,1,0,2
23576854,Sun et al.,2013,6,0,0,0,1,2,0,0,1,0,2
24405824,Fukasawa et al.,2014,6,0,0,0,0,2,0,0,1,1,2
26283879,Song et al.,2015,6,0,1,0,1,1,0,0,1,0,2
25408215,Bulati et al.,2015,6,0,0,0,2,2,0,0,1,0,1
30071285,Kilic et al.,2018,6,0,0,0,1,2,1,0,1,0,1
6631444,Alafuzoff et al.,1983,5,0,0,0,0,2,1,0,0,0,2
8164471,Cacabelos et al.,1994,5,0,0,0,1,2,0,0,1,0,1
8780841,Lawlor et al.,1996,5,0,0,0,1,2,0,0,1,0,1
9370085,Licastro et al.,1997,5,0,0,0,1,2,0,0,1,0,1
10504008,Maes et al.,1999,5,0,0,0,1,2,0,0,1,0,1
10369114,Leblhuber et al.,1999,5,0,0,0,1,2,0,0,1,0,1
11186601,Hull et al.,2000,5,0,0,0,1,2,0,0,1,0,1
12175481,De Servi et al.,2002,5,0,0,0,1,2,0,0,1,0,1
15501026,Mocali et al.,2004,5,0,0,0,1,2,0,0,1,0,1
17988833,Bossu et al.,2008,5,0,0,0,1,2,0,0,1,0,1
18367253,Bermejo et al.,2008,5,0,0,0,1,2,1,0,1,0,0
19329192, Avagyan et al.,2009,5,0,0,0,1,2,0,0,1,0,1
19836632,Mancinella et al,2009,5,0,0,0,1,2,0,0,1,0,1
23432970,Porcellini et al.,2013,5,0,0,0,1,2,0,0,1,0,1
24831467,Belkhelfa et al.,2014,5,0,0,0,0,2,0,0,1,0,2
25720398,Le Page et al.,2015,5,0,0,0,1,1,1,0,1,0,1
NIP2,Kim et al.,2015,5,0,0,0,1,2,1,0,1,0,0
26402766,Busse et al.,2015,5,0,0,0,0,2,1,0,1,0,1
29966192,Bartos et al.,2018,5,0,0,0,1,2,1,0,1,0,0
3522239,Alafuzoff et al.,1986,4,0,0,0,2,2,0,0,0,0,0
1745413,Fillit et al.,1991,4,0,0,0,1,2,0,0,1,0,0
22026253,Cojocaru et al. ,2011,4,0,0,0,0,2,0,0,1,0,1
26142708,Busse et al.,2015,4,0,0,0,0,2,0,0,1,0,1
28386987,Kalelioglu et al.,2017,4,0,0,0,0,0,0,0,1,1,2
32474469,Chen et al.,2020,3,0,0,0,0,2,0,0,1,0,0
9572596,Angelis et al.,1998,9,0,0,0,1,2,1,1,2,1,1
10462168,Bruunsgaard et al.,1999,7,0,1,0,2,2,0,0,1,0,1
14665714,Armanini et al.,2000,6,0,0,0,1,2,1,0,1,0,1
17124644,Schindowski et al.,2006,6,0,0,0,1,2,1,0,1,0,1
18937113,Angelopoulos et al.,2008,7,0,0,0,2,2,1,0,1,0,1
19245412,Kravitz et al.,2009,14,2,1,2,1,2,0,1,2,1,2
20634592,Saresella et al.,2010,9,0,0,0,2,2,0,1,1,1,2
21167930,Saresella et al.,2011,12,0,0,0,2,2,2,1,2,1,2
NIP3,Hamdan et al.,2014,9,0,0,0,1,2,1,1,1,1,2
26170132,Schmitz et al.,2015,8,0,1,0,1,2,2,0,1,0,1
NIP4,Monte et al.,2017,7,0,0,0,1,2,2,0,1,0,1
29915582,Oberstein et al.,2018,8,0,0,0,1,2,0,1,1,1,2
30927918,Willik et al.,2019,14,2,2,2,1,1,1,1,2,1,1
32441872,D'Angelo et al.,2020,6,0,0,0,1,2,1,0,1,0,1
32705487,Conti et al.,2021,9,0,0,0,1,2,1,1,2,1,1
34324642,Lewis et al.,2021,11,2,1,2,1,2,0,0,2,0,1
34563836,Stebbins et al.,2021,16,2,1,2,1,2,0,2,2,2,2
35172860,Fan et al.,2022,13,2,1,2,1,0,0,1,2,2,2
36083988,Fang et al.,2022,17,2,1,2,1,2,2,1,2,2,2
36439057,Farina et al.,2022,12,2,2,0,1,2,1,1,1,1,1
35527553,Fohner et al.,2022,18,2,2,2,1,2,2,2,1,2,2
35950445,Galgani et al.,2022,7,0,0,0,1,2,2,0,1,0,1
36613538,Giacconi et al.,2022,6,0,1,0,1,2,0,0,1,0,1
34331157,Kara et al.,2022,7,0,1,0,1,0,0,1,1,1,2
36215071,Luo et al.,2022,17,2,2,2,1,0,2,2,2,2,2
35608965,Wang et al.,2022,11,2,2,0,1,2,2,0,1,0,1
36437994,Wang et al.,2022,6,0,0,0,1,2,1,0,1,0,1
37584418,Chen et al.,2023,18,2,1,2,1,2,2,2,2,2,2
37302029,Chou et al.,2023,14,2,2,2,1,0,0,2,2,2,1
37250565,Evlice et al.,2023,6,0,1,0,1,2,0,0,1,0,1
36882933,Zorkina et al.,2023,8,0,1,0,1,2,2,0,1,0,1
36384659,Huang et al.,2023,10,2,0,2,1,0,0,1,2,1,1
36349985,Huang et al.,2023,7,2,1,0,1,0,1,0,1,0,1
37467317,Walker et al.,2023,15,2,2,2,1,2,0,1,2,2,1
37464278,Zhang et al.,2023,16,2,2,2,1,2,0,1,2,2,2
